society,colony,property_type,price_outer,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,area,super_built_up_area,built_up_area,carpet_area,plot_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories,area/bedrooms
arera colony,arera colony,House,432.0,18000,2.0,West,4,3,2,2400.0,,3500.0,,2400.0,1,0,0,1,1,0,1,12,Green View Homes,600.0
sai dev apartment,arera colony,Flat,45.0,4500,1.0,,3,2,2,1000.0,,,1000.0,,0,0,0,0,0,0,1,0,Road Facing Homes,333.3333333333333
globus coral woods,misrod,Flat,69.0,3717,3.0,North,3,3,2,1856.34,1856.0,,1400.0,,1,1,0,1,1,0,0,173,Premium Scenic Homes,618.78
gandhinagar,gandhinagar,House,250.0,7812,2.0,,5,5,2,3200.2,,,,3200.0,1,0,1,1,0,0,1,51,Amenity Facing Homes,640.04
lig flats,central bhopal,Flat,25.0,5000,1.0,,2,2,0,500.0,,,500.0,,0,0,0,0,0,0,1,0,Road Facing Homes,250.0
ibd hallmark citii,mahawadiya,Flat,23.0,2346,1.0,,3,2,3,980.39,,1250.0,980.0,,0,0,0,0,0,0,1,9,Road Facing Homes,326.7966666666667
chinarr 7th mile,outside bhopal,House,19.9,2531,1.0,East,2,1,1,786.25,,,,786.0,0,0,0,0,1,0,1,16,Green View Homes,393.125
priyadarshini anisthan,bawadia kalan,Flat,70.0,5600,5.0,,2,3,2,1250.0,,,1250.0,,0,0,0,1,0,0,1,25,Green View Homes,625.0
hinotiya alam,salaiya,House,86.0,7166,1.0,East,3,3,2,1200.11,,,,1200.0,0,0,0,0,0,0,1,36,Green View Homes,400.03666666666663
aishbagh,aishbagh,House,55.0,12222,4.0,West,1,4,1,450.01,,,,450.0,0,0,0,0,0,0,1,20,Green View Homes,112.5025
sterling globe grand,hoshangabad road,Flat,40.0,2985,5.0,East,3,2,2,1340.03,1340.0,,,,1,0,0,0,0,0,0,42,Amenity Facing Homes,446.6766666666667
ruchi lifescapes,hoshangabad road,House,225.0,7530,2.0,East,7,7,3,2988.05,,5125.0,,2988.0,0,0,0,0,0,0,1,55,Amenity Facing Homes,426.86428571428576
macker silver estate vertica,katara hills,Flat,20.0,2724,6.0,,2,2,1,734.21,,,734.0,,0,0,0,0,0,0,0,49,Amenity Facing Homes,367.105
jd kasturi vihar,misrod,House,29.0,5664,1.0,,1,1,0,512.01,,,,512.0,0,0,0,0,0,0,1,7,Road Facing Homes,512.01
amaltas ambreen homes,katara hills,Flat,32.0,3200,4.0,East,3,2,1,1000.0,1435.0,,1000.0,,0,0,0,0,0,0,1,33,Amenity Facing Homes,333.3333333333333
globus coral cottages,hoshangabad road,House,125.0,8333,,West,4,4,2,1500.06,,2300.0,,1500.0,1,1,1,1,0,0,1,63,Amenity Facing Homes,375.015
ramayan south avenue,katara hills,House,95.0,9047,2.0,East,3,3,1,1050.07,,1750.0,,1050.0,0,0,0,1,0,0,0,70,Green View Homes,350.0233333333333
aliganj,bhopal,Flat,23.0,4181,1.0,West,2,2,1,550.11,,,550.0,,0,0,0,0,0,0,1,29,Road Facing Homes,275.055
rasipuram road,bhopal,House,65.0,9027,2.0,West,3,2,1,720.06,,,,720.0,0,0,0,0,0,0,1,4,Green View Homes,240.01999999999998
trilanga,shahpura,House,140.0,7000,2.0,East,4,4,1,2000.0,,,,2000.0,0,0,0,0,0,0,1,9,Road Facing Homes,500.0
swadesh red square,misrod,House,120.0,10300,2.0,East,4,4,2,1165.05,,2000.0,1800.0,1165.0,1,0,0,0,1,0,1,16,Green View Homes,291.2625
kalptaru galaxy square,bawadia kalan,Flat,35.0,4375,2.0,North,2,2,1,800.0,,800.0,750.0,,0,0,0,0,0,0,1,25,Amenity Facing Homes,400.0
people world,karond,House,95.0,9500,2.0,East,4,4,2,1000.0,,,,1000.0,0,0,0,0,0,0,1,20,Road Facing Homes,250.0
shri shankar residency,gehu kheda,Flat,32.0,5633,1.0,West,2,2,2,568.08,,,568.0,,0,0,0,1,0,0,1,0,Road Facing Homes,284.04
signature 360,katara hills,Flat,30.0,2380,6.0,,3,2,2,1260.5,1260.0,902.0,,,0,0,0,0,0,1,1,25,Amenity Facing Homes,420.1666666666667
neelbad,neelbad,House,58.0,7435,2.0,West,2,2,1,780.09,,,,780.0,0,0,0,0,0,0,1,42,Road Facing Homes,390.045
ayodhya bypass,ayodhya bypass,House,150.0,12000,2.0,,4,4,2,1250.0,,,,1250.0,1,0,0,0,0,0,1,15,Green View Homes,312.5
vijay stambh,central bhopal,Flat,141.0,10057,8.0,,3,3,2,1402.01,,,1402.0,,0,0,0,0,0,0,1,48,Green View Homes,467.33666666666664
sarla paradise,awadhpuri,House,52.0,4828,1.0,West,2,2,0,1077.05,,,,1077.0,0,0,0,0,0,0,1,7,Road Facing Homes,538.525
baba apartments e7 arera colony,arera colony,Flat,50.0,3333,2.0,,3,2,3,1500.15,1500.0,,1240.0,,0,0,0,0,0,0,1,16,Road Facing Homes,500.05
kunjan nagar phase 1,bagmugaliya,House,75.0,7894,,East,3,2,1,950.09,,,,950.0,0,0,0,0,0,0,1,3,Road Facing Homes,316.69666666666666
jdn kasturi smart city,misrod,House,80.0,8000,2.0,North,5,3,2,1000.0,,,,1000.0,1,1,0,0,0,0,1,9,Road Facing Homes,200.0
sagar estate,ayodhya bypass,Flat,32.0,4000,3.0,,2,2,1,800.0,,,800.0,,0,0,0,0,0,0,1,30,Road Facing Homes,400.0
bda swami vivekanand parisar,katara hills,House,80.0,8255,2.0,,3,3,0,969.11,,,,969.0,0,0,0,0,0,0,1,13,Green View Homes,323.0366666666667
bypass road,bypass road,House,20.0,1481,1.0,,1,1,1,1350.44,,,,1350.0,0,0,0,0,0,0,1,0,Green View Homes,1350.44
rusia nagar,bhopal,House,70.0,5617,2.0,,3,3,2,1246.22,,,,1246.0,1,0,0,1,0,0,1,7,Road Facing Homes,415.4066666666667
mahendra greenwoods,misrod,House,140.0,6666,2.0,,5,4,3,2100.21,,4200.0,4000.0,1700.0,1,1,0,1,1,0,1,17,Road Facing Homes,420.04200000000003
ibd hallmark citii,mahawadiya,Flat,22.0,2046,2.0,East,3,2,3,1075.27,,,1075.0,,0,0,0,0,0,0,1,25,Amenity Facing Homes,358.42333333333335
samardha,mandideep,House,40.0,5000,1.0,North,3,2,0,800.0,,,,800.0,0,0,0,0,0,0,1,4,Green View Homes,266.6666666666667
unitech unihomes 2,gehu kheda,Flat,37.0,2587,5.0,,3,3,2,1430.23,,1430.0,1300.0,,0,0,0,0,0,0,1,0,Road Facing Homes,476.74333333333334
aakriti aqua city,hoshangabad road,House,36.1,4583,1.0,,3,3,1,787.69,,,,788.0,0,0,0,0,0,0,1,10,Green View Homes,262.56333333333333
neelbad,neelbad,House,50.0,3267,2.0,,2,2,1,1530.46,,,,1530.0,0,0,0,0,0,0,1,42,Road Facing Homes,765.23
emerald park city,habib ganj,House,320.0,13333,2.0,East,6,4,3,2400.06,,3600.0,3000.0,2400.0,0,0,0,1,0,0,1,32,Road Facing Homes,400.01
aakriti garden phase 4,central bhopal,House,170.0,17000,2.0,North,5,4,1,1000.0,,,,1000.0,0,0,0,0,0,0,2,36,Green View Homes,200.0
globus greens,lalgathi,House,225.0,15000,2.0,West,4,3,1,1500.0,,2500.0,,1500.0,0,0,0,1,0,0,2,19,Amenity Facing Homes,375.0
