society,colony,property_type,price_outer,price_per_sqft,Total Floors,Facing,bedrooms,bathrooms,balconies,area,super_built_up_area,built_up_area,carpet_area,plot_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories,area/bedrooms
rajveer colony semara,outside bhopal,House,35.0,5384,3.0,,3,4,2,650.07,,,,650.0,0,0,0,0,0,0,1,0,Road Facing Homes,216.69000000000003
b type duplex,ayodhya nagar,House,110.0,8730,2.0,East,3,3,1,1260.02,,1650.0,,1260.0,0,0,0,0,1,0,0,76,Road Facing Homes,420.00666666666666
green acres,lalgathi,Flat,75.0,5068,5.0,,3,3,0,1479.87,,1480.0,,,0,0,0,0,0,0,1,0,Road Facing Homes,493.28999999999996
ishaan vista,kolar road,House,75.0,6818,2.0,East,3,3,2,1100.03,,,,1100.0,0,0,0,0,0,0,1,13,Amenity Facing Homes,366.6766666666667
century heights,hoshangabad road,Flat,55.0,4074,5.0,West,3,2,2,1350.02,1350.0,,1100.0,,0,0,0,0,0,0,0,39,Road Facing Homes,450.00666666666666
janki apartments,kolar road,Flat,24.0,3692,1.0,East,2,2,2,650.05,,,650.0,,0,0,0,0,1,0,1,9,Green View Homes,325.025
ibd hallmark citii,mahawadiya,Flat,22.0,2200,2.0,,3,2,0,1000.0,1000.0,,,,0,0,0,0,0,0,1,25,Amenity Facing Homes,333.3333333333333
dwarka dham society,karond,Flat,26.0,3527,3.0,East,2,2,2,737.17,,,737.0,,0,0,0,0,0,0,1,22,Road Facing Homes,368.585
agrawal sagar golden palm,katara hills,Flat,25.0,3703,1.0,,2,2,1,675.13,,,675.0,,0,0,0,0,0,0,1,59,Amenity Facing Homes,337.565
bypass road,bypass road,House,50.0,2500,1.0,,4,3,0,2000.0,,,,2000.0,0,0,0,0,0,0,1,0,Green View Homes,500.0
keelandev apartments,central bhopal,Flat,200.0,11331,4.0,West,3,3,2,1765.07,,1765.0,1452.0,,0,1,0,0,0,0,0,35,Premium Scenic Homes,588.3566666666667
baba better homes,bawadia kalan,Flat,22.0,2933,3.0,North,2,2,1,750.09,750.0,,,,0,0,0,0,1,0,1,14,Road Facing Homes,375.045
aastha heights,navi bagh,Flat,11.5,2090,2.0,,1,1,1,550.24,,,550.0,,0,0,0,0,0,0,1,10,Green View Homes,550.24
j k town kolar,kolar road,House,400.0,26666,3.0,,2,1,0,1500.04,,,,1500.0,0,0,0,0,0,0,0,0,Road Facing Homes,750.02
fortune soumya heritage,misrod,Flat,20.0,2985,3.0,,2,1,1,670.02,670.0,,,,0,0,0,0,0,0,1,73,Amenity Facing Homes,335.01
lakherapura,peer gate area,House,125.0,11363,2.0,East,4,5,0,1100.06,,3000.0,,1100.0,0,0,1,1,0,0,0,20,Road Facing Homes,275.015
regal treasure,ayodhya bypass,Flat,23.9,5975,3.0,South-West,1,1,2,400.0,650.0,550.0,400.0,,0,0,0,0,0,0,0,35,Road Facing Homes,400.0
windsor aralia,kolar road,Flat,49.99,3423,5.0,West,3,1,3,1460.41,1460.0,,,,0,0,0,1,1,0,1,57,Premium Scenic Homes,486.80333333333334
rohit nagar phase-2,bawadia kalan,House,150.0,10000,2.0,North,4,4,1,1500.0,,3050.0,,1500.0,1,0,0,1,0,0,1,24,Green View Homes,375.0
bagmugaliya,bagmugaliya,House,90.0,8333,2.0,West,3,3,1,1080.04,,2000.0,1600.0,1080.0,0,0,0,1,0,0,1,25,Green View Homes,360.0133333333333
mansa vaidyanath dham,navi bagh,Flat,26.5,2751,2.0,East,2,2,2,963.29,963.0,,758.0,,0,0,0,0,0,0,2,19,Road Facing Homes,481.645
ruchi lifescapes,hoshangabad road,Flat,32.0,2285,1.0,East,3,2,2,1400.44,,,1400.0,,0,0,0,0,0,0,1,55,Amenity Facing Homes,466.81333333333333
ishita paradise,habib ganj,Flat,28.0,2883,1.0,South-East,3,2,1,971.21,,,971.0,,0,0,0,0,0,1,1,3,Road Facing Homes,323.7366666666667
hoshangabad road,hoshangabad road,House,215.0,5375,3.0,North,5,4,2,4000.0,,4000.0,3500.0,2280.0,0,1,0,1,0,0,0,48,Green View Homes,800.0
ujjawala aamra valley,kolar road,Flat,36.0,3512,2.0,South-West,2,2,2,1025.06,1025.0,,775.0,,0,0,0,0,0,0,0,41,Amenity Facing Homes,512.53
bhanpur,karond,House,24.0,2000,2.0,,4,2,0,1200.0,,1200.0,,,0,0,0,0,0,0,1,0,Road Facing Homes,300.0
sagar life style towers,bawadia kalan,Flat,15.0,3488,5.0,North,1,1,1,430.05,430.0,350.0,286.0,,0,0,0,0,0,0,1,74,Amenity Facing Homes,430.05
somya park land,awadhpuri,Flat,24.0,2555,3.0,East,2,2,2,939.33,,,939.0,,0,0,0,0,0,0,1,23,Green View Homes,469.665
oceanic towers,bhopal,Flat,28.0,3733,3.0,,2,2,0,750.07,750.0,,,,0,0,0,0,0,0,1,0,Road Facing Homes,375.035
fortune soumya heritage,misrod,Flat,25.5,2712,2.0,,2,2,0,940.27,940.0,,,,0,0,0,0,0,0,1,59,Amenity Facing Homes,470.135
asnani spring valley dew,katara hills,Flat,29.5,2166,3.0,North-West,2,2,0,1361.96,,,1200.0,,0,0,0,0,0,0,1,56,Amenity Facing Homes,680.98
nirman sudhas parn kuti parisar,gandhinagar,Flat,30.0,4000,2.0,,2,1,3,750.0,,,750.0,,0,0,0,0,0,0,1,4,Road Facing Homes,375.0
gopal nagar,patel nagar,House,55.0,6875,1.0,East,2,2,0,800.0,,650.0,,800.0,0,0,0,0,0,0,1,13,Road Facing Homes,400.0
karond bye pass road,karond,House,60.0,4000,,North-East,2,2,1,1500.0,,,,1500.0,0,0,0,0,0,0,1,10,Road Facing Homes,750.0
jharneshwar complex,central bhopal,Flat,47.0,4700,1.0,North-East,2,1,1,1000.0,1000.0,,700.0,,0,0,0,0,0,0,0,3,Road Facing Homes,500.0
kolar road,kolar road,House,65.0,8125,2.0,West,3,3,2,800.0,,1600.0,,800.0,1,0,0,1,1,0,1,34,Premium Scenic Homes,266.6666666666667
fast track heavens life,katara hills,Flat,36.0,3750,2.0,East,3,2,2,960.0,,,960.0,,0,0,0,0,0,0,1,62,Green View Homes,320.0
mahabali nagar,gehu kheda,House,45.0,3947,2.0,East,2,3,1,1140.11,,,,1140.0,0,0,0,0,0,0,1,0,Road Facing Homes,570.055
amrit bindras pebble bay,bagmugaliya,House,860.0,12314,3.0,North,7,8,2,6983.92,,,,5400.0,0,1,0,1,1,0,2,23,Amenity Facing Homes,997.7028571428572
fortune pride extension,shahpura,House,175.0,11666,2.0,,5,3,1,1500.09,,,,1500.0,0,0,0,0,1,0,1,24,Green View Homes,300.018
shanti enclave,gandhinagar,House,42.0,5250,2.0,,3,3,2,800.0,,,,800.0,0,0,0,0,0,0,1,9,Road Facing Homes,266.6666666666667
shaligram rudraksh park phase 2,bawadia kalan,Flat,55.0,5000,5.0,South-West,3,3,2,1100.0,,,1100.0,,0,0,0,0,0,0,1,50,Amenity Facing Homes,366.6666666666667
paras urbane park,bawadia kalan,Flat,300.0,10909,2.0,West,5,5,2,2750.02,2750.0,2172.0,1980.0,,0,0,0,0,0,0,0,124,Green View Homes,550.004
fast track heavens life,katara hills,House,125.0,5830,2.0,East,4,4,1,2144.08,,,,2144.0,0,0,0,0,1,0,1,16,Green View Homes,536.02
sheetal dham society,mandideep,Flat,20.0,2666,1.0,,2,2,1,750.19,,,750.0,,0,0,0,0,0,0,1,35,Amenity Facing Homes,375.095
fourtune divin city,misrod,Flat,41.0,4505,4.0,,3,2,2,910.1,910.0,,,,0,0,0,0,0,0,0,0,Road Facing Homes,303.3666666666667
fortune kasturi,misrod,Flat,10.0,3333,2.0,,1,1,1,300.03,,,300.0,,0,0,0,0,0,0,1,46,Road Facing Homes,300.03
drishti enclave,bawadia kalan,Flat,56.0,3708,1.0,East,3,3,2,1510.25,1510.0,,,,0,0,0,0,0,0,1,28,Green View Homes,503.4166666666667
western courtyard,shirdipuram,Flat,95.0,4691,4.0,,4,4,1,2025.15,2025.0,,,,0,0,0,0,1,0,0,27,Road Facing Homes,506.2875
sheetal dham,hoshangabad road,Flat,18.0,3000,3.0,East,1,1,1,600.0,,,600.0,,0,0,0,0,1,0,1,53,Amenity Facing Homes,600.0
fortune soumya atlantis,katara hills,Flat,20.5,2562,6.0,,2,2,1,800.16,930.0,,800.0,,0,0,0,0,0,0,0,42,Amenity Facing Homes,400.08
agrawal sagar premium towers,shirdipuram,Flat,75.0,4411,7.0,,4,3,1,1700.29,1700.0,,1291.0,,0,0,0,0,0,0,0,98,Green View Homes,425.0725
b sector shahpura,shahpura,House,290.0,12083,2.0,,3,3,3,2400.07,,,,2400.0,0,0,0,0,0,0,1,38,Road Facing Homes,800.0233333333334
windsor palms,kolar road,House,55.0,6875,2.0,West,3,3,2,800.0,,1400.0,,800.0,0,0,0,0,0,0,1,12,Green View Homes,266.6666666666667
samriddhi apartment,kolar road,Flat,23.0,2875,2.0,,2,2,1,800.0,,,800.0,,0,0,0,0,0,0,1,13,Road Facing Homes,400.0
lala lajpat rai society,arera colony,House,225.0,16000,3.0,,5,6,3,1406.25,,,,1406.0,0,0,0,0,0,0,1,0,Road Facing Homes,281.25
aakar canal kinship,bawadia kalan,Flat,56.0,3771,1.0,East,3,2,2,1485.02,1485.0,1100.0,,,0,0,0,0,0,0,1,28,Amenity Facing Homes,495.00666666666666
tirupati nand vihar,katara hills,Flat,25.0,3125,3.0,West,2,2,2,800.0,,,800.0,,0,0,0,0,0,0,1,23,Green View Homes,400.0
signature 360,katara hills,Flat,50.0,3333,2.0,,3,3,2,1500.15,,1500.0,900.0,,0,0,0,0,0,0,1,34,Amenity Facing Homes,500.05
chopra kalan vidisha road,bhopal,House,45.0,3750,1.0,South-West,2,2,1,1200.0,,,,1200.0,0,0,0,1,0,0,0,53,Road Facing Homes,600.0
new minal residency,ayodhya nagar,House,135.0,8789,2.0,East,4,4,2,1536.01,,,,1536.0,0,0,0,1,0,0,1,3,Green View Homes,384.0025
housing board,bhopal,House,20.0,4545,1.0,South,1,1,0,440.04,,450.0,440.0,440.0,0,0,0,0,0,0,1,10,Road Facing Homes,440.04
fortune soumya heritage,misrod,Flat,24.0,2925,2.0,,2,2,0,820.51,940.0,,,,0,0,0,0,0,0,1,59,Amenity Facing Homes,410.255
shri aadinath parisar,bhopal,House,25.0,3676,1.0,,1,2,0,680.09,,,680.0,700.0,0,0,0,0,0,0,1,0,Road Facing Homes,680.09
rajharsh colony kolar road,kolar road,House,40.0,6666,1.0,,4,4,1,600.06,,,,600.0,0,0,1,0,0,0,1,3,Road Facing Homes,150.015
ultimate sky villas,bawadia kalan,Flat,250.0,10000,6.0,,5,4,3,2500.0,,,2500.0,,0,0,0,0,0,0,0,18,Green View Homes,500.0
regal mohini homes,awadhpuri,House,63.0,7500,2.0,East,3,2,2,840.0,,1600.0,1450.0,840.0,0,0,0,0,1,0,1,22,Road Facing Homes,280.0
shankar nagar,bhopal,House,550.0,18272,2.0,North,6,6,3,3010.07,,3000.0,,3010.0,1,0,0,0,1,0,0,26,Road Facing Homes,501.67833333333334
faith imperial heights,kolar road,Flat,18.0,1969,3.0,,3,2,3,914.17,914.0,,,,0,0,0,0,0,0,1,17,Green View Homes,304.7233333333333
landmark the prospera,bagmuliya,Flat,58.0,3515,3.0,North,3,2,1,1650.07,,,1650.0,,0,0,0,0,0,0,0,46,Amenity Facing Homes,550.0233333333333
bawadia kalan,bawadia kalan,House,61.0,6100,,South-East,3,2,2,1000.0,,,,1000.0,1,0,0,1,1,0,1,3,Green View Homes,333.3333333333333
shri rameshwaram,bagmuliya,House,800.0,7434,2.0,East,6,6,2,10761.37,,,,10760.0,1,1,1,1,0,0,0,85,Amenity Facing Homes,1793.5616666666667
shaligram rudraksh park phase 2,bawadia kalan,Flat,35.5,4015,6.0,East,2,2,1,884.18,,884.0,813.0,,0,0,0,0,0,0,1,45,Amenity Facing Homes,442.09
ruchi lifescape,misrod,House,108.0,5966,2.0,East,4,4,3,1810.26,,,,1810.0,0,0,0,0,0,0,1,16,Green View Homes,452.565
krishna nagar street no 2,bypass road,House,16.0,2909,1.0,,1,1,1,550.02,,,,550.0,0,0,0,0,0,0,1,0,Road Facing Homes,550.02
chitransh sai vihar  semrikalan,kolar road,House,65.0,6280,2.0,East,3,2,1,1035.03,,,,1035.0,0,0,0,0,0,0,1,0,Green View Homes,345.01
shri balaji swastik grand,misrod,Flat,55.0,3267,2.0,East,3,4,1,1683.5,1683.0,,1643.0,,0,1,0,0,0,0,2,75,Amenity Facing Homes,561.1666666666666
covered campus,kolar road,Flat,16.0,2051,5.0,North-East,2,2,2,780.11,,,780.0,,0,0,0,0,0,0,0,43,Road Facing Homes,390.055
lakhumal nikhil nestles,hoshangabad road,Flat,48.0,2953,1.0,South-West,3,3,3,1625.47,1625.0,1440.0,1200.0,,1,1,0,1,1,0,2,136,Premium Scenic Homes,541.8233333333334
rsr opel regency,bawadia kalan,Flat,55.0,5467,2.0,North-East,3,2,2,1006.04,,,1006.0,,0,0,0,0,0,0,0,54,Road Facing Homes,335.34666666666664
sehore road,bhopal,House,250.0,16666,3.0,,4,4,3,1500.06,,,,1500.0,0,0,0,0,0,0,1,0,Road Facing Homes,375.015
essarjee sampada,khajuri kalan,Flat,17.0,2266,5.0,,2,2,3,750.22,750.0,,,,0,0,0,0,0,0,1,22,Amenity Facing Homes,375.11
fortune soumya heritage,hoshangabad road,House,63.0,7500,2.0,West,3,3,1,840.0,,,1580.0,840.0,0,0,0,0,0,0,1,59,Amenity Facing Homes,280.0
sagar royal homes,bagmugaliya,House,140.0,10769,2.0,North,4,4,2,1300.03,,2200.0,,1300.0,0,0,0,0,0,0,1,63,Amenity Facing Homes,325.0075
shahpura,shahpura,House,45.0,4090,1.0,,4,2,0,1100.24,,1100.0,,,0,0,0,0,0,0,1,9,Green View Homes,275.06
amaltas hill view society,katara hills,Flat,25.5,2931,3.0,North-West,2,2,2,870.01,925.0,870.0,700.0,,0,0,0,0,0,0,0,38,Road Facing Homes,435.005
neelbad,neelbad,House,30.0,4000,1.0,East,2,2,0,750.0,,,,750.0,0,0,0,0,0,0,1,13,Road Facing Homes,375.0
ibd hallmark citii,mahawadiya,Flat,20.0,2547,3.0,,2,2,2,785.24,785.0,,545.0,,0,0,0,0,0,0,1,25,Amenity Facing Homes,392.62
maa parvati nagar,gehu kheda,House,110.0,11956,3.0,North,2,6,2,920.04,,2000.0,,920.0,0,0,0,0,0,0,1,21,Green View Homes,131.43428571428572
kailash nagar,bhopal,House,75.0,8333,2.0,East,2,5,3,900.04,,,,900.0,0,0,0,0,0,0,1,0,Green View Homes,180.00799999999998
new minal residency,ayodhya nagar,House,130.0,8463,2.0,West,4,4,2,1536.1,,,,1536.0,0,0,0,1,0,0,1,3,Green View Homes,384.025
awadhpuri,awadhpuri,House,60.0,6000,2.0,West,3,3,1,1000.0,,,,1000.0,0,0,0,0,0,0,1,23,Amenity Facing Homes,333.3333333333333
airport road,gandhinagar,House,100.0,8583,2.0,North,3,3,2,1165.09,,,,1165.0,0,0,0,0,1,0,2,104,Amenity Facing Homes,388.3633333333333
mphid dwarika parisar,bagmugaliya,Flat,60.0,3428,5.0,East,3,3,2,1750.29,1750.0,1361.0,1100.0,,0,0,0,0,1,0,0,77,Road Facing Homes,583.43
rivera hights,central bhopal,Flat,55.0,8208,6.0,,2,2,1,670.08,,,670.0,,0,0,0,0,0,0,0,0,Road Facing Homes,335.04
tirupati abhinav homes,ayodhya bypass,House,270.0,6000,2.0,West,4,5,2,4500.0,,4500.0,4000.0,3000.0,0,1,0,1,0,0,0,31,Amenity Facing Homes,1125.0
bda colony,awadhpuri,House,75.0,4518,1.0,,2,1,0,1660.03,,1000.0,,1660.0,0,0,1,1,0,0,1,13,Road Facing Homes,830.015
asnani spring valley dew,katara hills,Flat,36.75,4900,4.0,,2,2,2,750.0,1050.0,,750.0,,0,0,0,0,0,0,1,56,Amenity Facing Homes,375.0
aashima royal city,hoshangabad road,Flat,41.0,3037,5.0,,3,2,2,1350.02,,,1350.0,,0,0,0,0,0,0,1,46,Amenity Facing Homes,450.00666666666666
parshav apartment,karond,Flat,22.5,3214,5.0,East,2,2,2,700.06,,,700.0,,0,0,0,0,0,0,1,48,Green View Homes,350.03
chinar woodlands,chuna bhatti,Flat,38.0,6724,1.0,,2,2,2,565.14,,,565.0,,0,0,0,0,0,0,1,0,Road Facing Homes,282.57
shri krishna campus,gehu kheda,Flat,19.0,2235,4.0,North-East,2,2,1,850.11,,,850.0,,0,0,0,0,0,0,1,19,Road Facing Homes,425.055
regal treasure,ayodhya bypass,Flat,21.9,3369,3.0,South-West,1,1,2,650.04,650.0,550.0,400.0,,0,0,0,0,0,0,0,35,Road Facing Homes,650.04
ab smart city phase 1,katara hills,House,75.0,6521,2.0,,4,3,2,1150.13,,2100.0,1950.0,1150.0,0,0,0,0,1,0,1,31,Road Facing Homes,287.5325
bda colony,awadhpuri,House,35.0,7000,2.0,South-East,3,2,2,500.0,,,,500.0,0,0,0,0,0,0,1,3,Road Facing Homes,166.66666666666666
raj harsh colony,gehu kheda,Flat,21.5,3071,2.0,East,2,2,2,700.1,,,700.0,,0,0,0,0,0,0,1,0,Road Facing Homes,350.05
bagmugaliya,bagmugaliya,House,325.0,13541,2.0,East,5,5,3,2400.12,,,4000.0,2400.0,1,0,0,1,1,0,2,14,Green View Homes,480.024
indra nagar,bhopal,House,40.0,3999,3.0,East,3,4,2,1000.25,,1800.0,,1000.0,0,1,1,0,0,0,1,10,Road Facing Homes,100.025
mirchandani shalimar campus,bawadia kalan,Flat,32.0,4183,1.0,West,3,2,1,765.0,,,765.0,,0,0,0,0,0,0,0,15,Green View Homes,255.0
berasia,karond,House,100.0,8000,,,7,7,0,1250.0,,,,1250.0,0,0,0,0,0,0,1,11,Road Facing Homes,178.57142857142858
shiva whispering woods,salaiya,Flat,45.0,4090,2.0,South-West,3,2,3,1100.24,,,1100.0,,0,0,0,0,0,0,1,25,Green View Homes,366.74666666666667
amra estate,gehu kheda,Flat,25.0,2500,4.0,West,3,2,1,1000.0,,,1000.0,,0,0,0,0,0,0,1,0,Green View Homes,333.3333333333333
fortune soumya tulip heights,kolar road,Flat,14.5,2290,1.0,,2,1,1,633.19,,,633.0,,0,0,0,0,0,0,1,0,Road Facing Homes,316.595
bda swami vivekanand parisar,katara hills,Flat,13.5,3000,1.0,East,1,1,0,450.0,,,450.0,,0,0,0,0,0,0,0,13,Green View Homes,450.0
citi vistaar,gehu kheda,House,47.0,7833,2.0,West,3,2,2,600.03,,,,600.0,0,0,0,0,0,0,1,46,Green View Homes,200.01
ayodhya bypass,ayodhya bypass,House,320.0,8000,1.0,,6,5,0,4000.0,,4000.0,2400.0,,0,0,0,0,0,0,1,13,Green View Homes,666.6666666666666
kartik kasturi heights,navi bagh,Flat,25.0,2314,2.0,,2,2,3,1080.38,,,1080.0,,0,0,0,0,0,0,1,39,Green View Homes,540.19
gaurav nagar bairagarh chichli kolar road,gehu kheda,Flat,8.0,2272,3.0,,1,1,1,352.11,,,352.0,,0,0,0,0,0,0,1,22,Road Facing Homes,352.11
fortune delight,hoshangabad road,House,135.0,11474,2.0,,4,3,2,1176.57,,,,1176.0,0,0,0,0,0,0,1,4,Green View Homes,294.1425
lalita nagar,gehu kheda,House,125.0,5208,3.0,East,4,12,2,2400.15,,7000.0,6800.0,2400.0,1,1,0,1,1,0,1,21,Road Facing Homes,184.62692307692308
e 7 arera colony,arera colony,House,190.0,12666,,West,3,2,1,1500.08,,,,1500.0,0,0,0,0,0,0,1,4,Green View Homes,500.02666666666664
swastik grand,misrod,Flat,36.0,2500,6.0,,2,2,2,1440.0,,1440.0,,,0,0,0,0,0,0,1,0,Road Facing Homes,720.0
awadhpuri,awadhpuri,House,75.0,7500,2.0,,5,3,0,1000.0,,,,1000.0,0,0,0,0,0,0,1,23,Amenity Facing Homes,200.0
chanchal nagar sonagiri,piplani,House,58.0,5800,2.0,West,4,2,2,1000.0,,,,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes,250.0
rudraksh kasturi,salaiya,Flat,50.0,2941,3.0,North,3,2,3,1700.1,1700.0,,1200.0,,0,0,0,0,0,0,1,65,Amenity Facing Homes,566.6999999999999
fortune delight,hoshangabad road,House,110.0,9166,2.0,North-East,3,3,2,1200.09,,,,1200.0,0,0,0,0,0,0,1,4,Green View Homes,400.03
bda complex,habib ganj,Flat,30.0,3000,2.0,,2,2,1,1000.0,,,1000.0,,0,0,0,0,0,0,0,16,Green View Homes,500.0
agrawal sagar lakeview homes,ayodhya bypass,Flat,32.5,3080,1.0,East,2,2,2,1055.19,1055.0,,,,0,0,0,0,0,0,1,93,Green View Homes,527.595
malik apartment,shahjahanabad,Flat,15.0,2727,1.0,East,2,1,0,550.06,,,550.0,,0,0,0,0,0,0,1,7,Road Facing Homes,275.03
raj rishi parisar,central bhopal,Flat,85.0,11333,2.0,,3,1,0,750.02,,,750.0,,0,0,0,0,0,0,0,0,Road Facing Homes,250.00666666666666
gharonda heights,khajuri kalan,Flat,30.0,3000,3.0,East,3,2,2,1000.0,,,1000.0,,0,0,0,0,0,0,1,41,Green View Homes,333.3333333333333
husna apartment,peer gate area,Flat,16.0,2667,1.0,,2,2,0,599.93,600.0,,,,0,0,0,0,0,0,1,0,Road Facing Homes,299.965
minal residency,ayodhya nagar,House,60.0,7500,2.0,West,3,3,1,800.0,,,,800.0,0,0,0,0,0,0,1,0,Road Facing Homes,266.6666666666667
aakriti greens,salaiya,Flat,45.0,3157,5.0,South-West,3,2,2,1425.4,,1425.0,,,0,0,0,0,0,0,0,64,Green View Homes,475.1333333333334
trilanga,shahpura,House,300.0,14285,2.0,East,6,5,2,2100.11,,,,2100.0,0,0,0,1,0,0,2,10,Road Facing Homes,350.0183333333334
paras emperor phase 1,bawadia kalan,Flat,165.0,12692,11.0,,3,3,2,1300.03,1890.0,,1300.0,,0,0,0,0,0,0,1,38,Amenity Facing Homes,433.3433333333333
green heights,shahpura,Flat,78.0,6500,1.0,,3,3,0,1200.0,,1200.0,,,0,0,0,0,0,0,0,30,Road Facing Homes,400.0
mahendra city,arera colony,House,15.5,2583,1.0,,2,1,0,600.08,,,,600.0,0,0,0,0,0,0,1,0,Road Facing Homes,300.04
phase vi,ayodhya nagar,House,75.0,6818,2.0,East,3,3,2,1100.03,,,,1100.0,0,0,0,0,0,0,1,0,Road Facing Homes,366.6766666666667
amaltas ambreen homes,katara hills,Flat,30.0,3024,3.0,East,2,2,1,992.06,992.0,640.0,,,0,0,0,0,0,0,1,30,Green View Homes,496.03
bawadia kalan,bawadia kalan,House,160.0,10666,3.0,East,4,4,3,1500.09,,,,1500.0,1,1,0,1,0,0,1,12,Green View Homes,375.0225
silver sand heights,peer gate area,Flat,27.0,4909,3.0,,2,2,1,550.01,550.0,,,,0,0,0,0,0,0,1,0,Road Facing Homes,275.005
mahalaxmi awasiya parisar,bhopal,Flat,65.0,5909,10.0,North,3,3,2,1100.02,1350.0,,1100.0,,0,0,0,0,0,0,1,28,Green View Homes,366.67333333333335
amrit bindras pebble bay,bagmugaliya,House,135.0,9642,2.0,,3,4,1,1400.12,,2400.0,,1400.0,0,0,0,0,1,0,1,23,Amenity Facing Homes,466.70666666666665
amaltas westminster,ayodhya bypass,Flat,41.0,4270,1.0,,3,2,1,960.19,1300.0,,960.0,,0,0,0,0,0,0,1,38,Amenity Facing Homes,320.06333333333333
aryavrat british park,hoshangabad road,Flat,55.0,3543,9.0,,3,3,3,1552.36,1690.0,1286.0,,,0,0,0,0,0,0,1,74,Road Facing Homes,517.4533333333333
karond chouraha,karond,House,105.0,3088,4.0,,5,10,3,3400.26,,3400.0,,,0,0,0,0,0,0,1,8,Road Facing Homes,680.052
karond,karond,House,35.0,2916,1.0,,3,2,0,1200.27,,900.0,,1200.0,0,0,0,0,0,0,1,4,Green View Homes,400.09
appartment girdhari,peer gate area,Flat,26.0,4000,2.0,,2,2,1,650.0,650.0,,,,0,0,0,0,0,0,1,6,Road Facing Homes,325.0
fortune soumya heritage,misrod,Flat,16.0,2461,5.0,,2,1,1,650.14,650.0,,,,0,0,0,0,0,0,1,59,Amenity Facing Homes,325.07
aakriti greens,salaiya,Flat,28.0,3500,5.0,East,2,2,2,800.0,,,800.0,,0,0,0,0,0,0,1,28,Amenity Facing Homes,400.0
signature business park,karond,House,27.0,4500,1.0,South-West,2,1,0,600.0,,660.0,600.0,600.0,0,0,0,0,0,0,0,0,Road Facing Homes,300.0
bhavishya metro city,outside bhopal,House,25.0,2222,1.0,North,2,2,0,1125.11,,,,1125.0,0,0,0,0,1,0,1,4,Green View Homes,562.555
appartment,govindpura,Flat,8.0,2000,2.0,North,1,1,1,400.0,,,400.0,,0,0,0,0,1,0,1,17,Green View Homes,400.0
madhuban heights,kolar road,Flat,45.0,3846,4.0,East,3,3,2,1170.05,,,1170.0,,0,0,0,0,0,0,0,65,Road Facing Homes,390.01666666666665
sundar nagar,ashoka garden,House,65.0,6500,2.0,North,4,5,1,1000.0,,,,1000.0,0,0,0,0,1,0,1,3,Road Facing Homes,142.85714285714286
neelbad,neelbad,House,60.0,5000,2.0,East,5,5,3,1200.0,,2400.0,,1200.0,0,0,0,0,0,0,1,13,Road Facing Homes,240.0
fortune acharya enclave,bawadia kalan,House,226.0,17005,2.0,East,4,3,2,1329.02,,,1560.0,1329.0,0,0,0,0,0,0,1,44,Amenity Facing Homes,332.255
shubhalay vihar,bawadia kalan,House,145.0,11153,1.0,South,4,5,2,1300.1,,3000.0,,1300.0,0,0,0,0,0,0,1,11,Green View Homes,325.025
chanchal nagar sonagiri,piplani,House,140.0,7000,2.0,,8,4,3,2000.0,,,,2000.0,1,0,1,0,0,0,1,0,Road Facing Homes,250.0
danish kunj,gehu kheda,House,200.0,11428,2.0,South-West,4,3,2,1750.09,,3500.0,2200.0,1750.0,0,0,0,0,0,0,1,24,Green View Homes,437.5225
raja bhoj airport area,gandhinagar,House,76.99,7819,2.0,East,4,4,1,984.65,,,2000.0,985.0,0,0,0,0,0,0,1,32,Green View Homes,246.1625
ibd hallmark city,mahawadiya,Flat,20.5,2562,3.0,East,3,2,3,800.16,,,800.0,,0,0,0,0,0,0,1,24,Green View Homes,266.71999999999997
lala lajpat rai colony,aishbagh,House,150.0,10000,2.0,North-West,6,5,2,1500.0,,,,1500.0,1,1,0,0,0,0,1,6,Road Facing Homes,250.0
al-fiza tower,aishbagh,Flat,26.0,3714,2.0,,2,2,1,700.05,,750.0,700.0,,0,0,0,0,0,0,1,13,Road Facing Homes,350.025
paras hermitage,bagmugaliya,Flat,95.0,10555,1.0,,3,3,2,900.05,,,900.0,,0,0,0,0,0,0,2,50,Road Facing Homes,300.01666666666665
saket nagar,habib ganj,House,149.0,12416,3.0,North,3,8,3,1200.06,,,,1200.0,0,0,0,0,0,0,1,12,Road Facing Homes,133.34
shankracharya nagar,aishbagh,House,53.0,3533,3.0,,2,2,1,1500.14,,,,1500.0,0,0,0,0,0,0,1,0,Green View Homes,750.07
sage milestone,mandideep,House,84.0,5250,2.0,North,3,3,1,1600.0,,1800.0,1600.0,850.0,0,0,0,0,0,0,0,99,Green View Homes,533.3333333333334
girnar valley,ayodhya bypass,Flat,25.0,2958,4.0,North,2,2,1,845.17,845.0,,,,0,0,0,0,0,0,1,21,Road Facing Homes,422.585
mp nagar,central bhopal,House,624.0,26000,2.0,West,3,2,2,2400.0,,3000.0,,2400.0,1,0,0,0,1,0,1,12,Green View Homes,800.0
imperial heights,shahjahanabad,Flat,25.0,3328,3.0,North,2,2,1,751.2,,,751.0,,0,0,0,0,0,0,1,32,Road Facing Homes,375.6
