colony,property_type,price_outer,price_per_sqft,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
bhopal,House,125.0,10417,2.0,Old Property,4,4,2,1440.0,0,0,0,0,0,0,1,0,Road Facing Homes
shahpura,House,32.0,8000,1.0,Old Property,2,2,1,600.0,0,0,0,0,0,0,1,9,Green View Homes
shahjahanabad,Flat,25.0,2617,4.0,New Property,4,4,1,1146.0,0,0,0,0,0,0,0,73,Road Facing Homes
shahjahanabad,Flat,12.0,2962,2.0,Old Property,1,1,1,486.0,0,0,0,0,0,0,1,3,Road Facing Homes
central bhopal,House,175.0,7000,1.0,Old Property,3,3,2,3000.0,0,0,0,0,0,0,1,0,Road Facing Homes
bhopal,House,210.0,12580,1.0,Old Property,4,3,3,2400.0,1,0,0,1,0,0,0,24,Green View Homes
ayodhya bypass,Flat,25.0,5000,3.0,Moderate Property,1,1,1,388.68525223627813,0,0,0,0,0,0,1,65,Road Facing Homes
gandhinagar,House,115.0,7666,2.0,Moderate Property,4,5,3,1500.0,0,0,0,1,0,0,0,7,Green View Homes
habib ganj,House,150.0,10000,2.0,Old Property,5,4,2,1500.0,0,0,0,0,0,0,1,9,Green View Homes
gehu kheda,House,31.0,5166,2.0,New Property,2,3,1,600.0,0,0,0,1,0,0,1,6,Road Facing Homes
misrod,House,170.0,10625,2.0,Old Property,5,5,2,3200.0,1,1,1,1,0,0,1,85,Amenity Facing Homes
katara hills,Flat,22.0,2355,2.0,Moderate Property,2,2,2,726.0640511773676,0,0,0,0,0,0,1,42,Amenity Facing Homes
shahjahanabad,Flat,35.0,4545,3.0,Moderate Property,2,2,1,924.0,0,0,0,0,0,0,1,9,Road Facing Homes
patel nagar,House,34.9,5816,2.0,New Property,2,2,1,800.0,0,0,0,0,0,0,0,24,Road Facing Homes
bagmuliya,Flat,23.0,3066,1.0,Old Property,2,2,1,900.0,0,0,0,0,0,0,1,35,Green View Homes
bhopal,House,70.0,5833,1.0,Old Property,3,2,2,1200.0,0,0,0,1,1,0,1,0,Road Facing Homes
patel nagar,House,56.0,6363,2.0,Old Property,3,2,2,1500.0,0,0,0,0,0,0,1,13,Road Facing Homes
habib ganj,House,270.0,10588,2.0,Old Property,5,4,3,2550.0,1,1,0,0,0,0,1,22,Road Facing Homes
ayodhya bypass,House,65.0,4333,1.0,Old Property,3,3,0,1500.0,0,0,1,0,0,0,1,0,Road Facing Homes
karond,House,70.0,7000,2.0,New Property,4,2,1,1000.0,0,0,0,0,1,0,0,4,Green View Homes
bhopal,House,69.0,2156,2.0,New Property,2,2,2,3200.0,0,0,0,1,0,0,1,0,Road Facing Homes
bawadia kalan,Flat,42.0,2593,4.0,Under Construction,3,3,0,1620.0,0,0,0,0,0,0,1,8,Amenity Facing Homes
awadhpuri,Flat,20.0,2191,2.0,New Property,3,2,2,691.8597489805751,0,0,0,0,0,0,1,33,Amenity Facing Homes
habib ganj,Flat,22.75,3033,2.0,Old Property,2,1,1,900.0,0,0,0,0,0,0,0,0,Road Facing Homes
ayodhya nagar,House,38.0,4750,2.0,Moderate Property,3,3,0,800.0,0,0,0,0,0,0,1,3,Road Facing Homes
bagmuliya,Flat,42.0,4666,4.0,New Property,3,2,2,1200.0,0,0,0,0,0,0,0,35,Green View Homes
kolar road,House,25.0,5555,1.0,New Property,3,3,0,450.0,0,0,0,0,0,0,1,10,Amenity Facing Homes
karond,House,50.0,6666,3.0,New Property,2,7,3,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
misrod,Flat,100.0,4593,3.0,New Property,4,4,2,1630.0,1,0,0,0,0,0,1,30,Amenity Facing Homes
arera colony,Flat,15.0,3000,3.0,Old Property,1,1,1,600.0,0,0,0,0,0,0,1,3,Road Facing Homes
awadhpuri,House,95.0,7600,2.0,New Property,4,5,0,1250.0,0,0,0,0,0,0,1,4,Green View Homes
bawadia kalan,House,550.0,15000,3.0,Under Construction,5,8,3,3200.0,1,1,1,1,0,0,1,22,Road Facing Homes
hoshangabad road,House,100.0,9259,2.0,Moderate Property,4,4,2,1400.0,0,0,0,0,0,0,1,21,Green View Homes
gandhinagar,Flat,30.0,3000,4.0,Moderate Property,2,2,3,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
awadhpuri,Flat,14.0,3500,1.0,New Property,1,1,0,310.9482017890225,0,0,0,0,0,0,1,0,Road Facing Homes
central bhopal,Flat,43.0,10804,1.0,Old Property,1,1,1,477.59999999999997,0,0,0,0,0,0,0,0,Road Facing Homes
misrod,Flat,87.0,5605,2.0,New Property,4,4,2,1206.4790229414073,0,1,0,0,0,0,1,91,Amenity Facing Homes
shahpura,House,300.0,16666,2.0,Old Property,3,3,1,3000.0,0,0,0,0,0,0,1,0,Road Facing Homes
karond,House,27.0,6750,2.0,New Property,2,2,1,400.0,0,0,0,0,0,0,1,20,Road Facing Homes
ayodhya bypass,House,315.0,21000,3.0,Moderate Property,2,2,2,1500.0,0,1,0,0,1,0,1,4,Green View Homes
bhopal,House,250.0,9259,1.0,Old Property,4,3,2,5400.0,1,1,0,0,0,0,0,27,Green View Homes
bhopal,Flat,50.0,6666,1.0,Old Property,2,2,2,750.0,0,0,0,1,1,0,0,2,Road Facing Homes
bhopal,Flat,38.0,3830,2.0,Old Property,2,2,2,992.0,0,0,0,0,0,0,0,50,Green View Homes
navi bagh,House,55.0,3928,1.0,Moderate Property,3,2,0,1400.0,0,0,0,0,0,0,1,3,Premium Scenic Homes
bagmuliya,House,202.0,8015,1.0,Old Property,3,3,1,2520.0,0,0,0,0,0,0,1,85,Road Facing Homes
bagmuliya,House,35.0,4861,1.0,Old Property,2,2,0,720.0,0,0,0,0,1,0,1,8,Green View Homes
ayodhya nagar,House,130.0,7879,2.0,Moderate Property,4,2,0,1650.0,0,0,0,0,0,0,1,3,Road Facing Homes
katara hills,Flat,30.0,2222,4.0,Moderate Property,3,2,2,1350.0,0,0,0,0,0,0,1,24,Green View Homes
bagmugaliya,House,110.0,7333,2.0,Old Property,5,4,2,2200.0,1,0,0,1,1,0,1,22,Green View Homes
ashoka garden,House,105.0,4200,3.0,Old Property,4,5,1,2500.0,0,0,0,0,0,0,1,27,Road Facing Homes
ayodhya bypass,Flat,5.8,2989,1.0,Moderate Property,1,1,0,246.0,0,0,0,0,0,0,1,0,Road Facing Homes
ayodhya bypass,Flat,20.0,3120,5.0,New Property,2,1,1,712.0,0,0,0,0,0,1,1,65,Road Facing Homes
