colony,property_type,price_outer,price_per_sqft,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,study room,servant room,store room,pooja room,others,view floor plan,furnishing_type,luxury_score,Overlooking_Categories
kolar road,Flat,15.0,2727,1.0,Moderate Property,2,1,0,660.0,0,0,0,0,0,0,1,13,Road Facing Homes
bagmugaliya,Flat,51.25,3428,2.0,New Property,4,3,0,1495.0,0,0,0,0,0,0,1,0,Road Facing Homes
central bhopal,Flat,200.0,9237,5.0,New Property,4,4,3,2100.0,1,1,0,1,1,0,0,22,Premium Scenic Homes
hoshangabad road,Flat,20.0,4444,5.0,New Property,1,2,2,450.0,0,0,0,1,0,0,1,52,Amenity Facing Homes
mandideep,House,27.0,4500,3.0,Old Property,1,4,2,600.0,0,0,0,1,1,0,1,23,Amenity Facing Homes
hoshangabad road,Flat,40.0,2711,5.0,Moderate Property,3,2,2,1474.0,1,0,0,1,0,0,2,51,Amenity Facing Homes
bagmuliya,House,260.0,10833,2.0,Moderate Property,4,4,2,2400.0,0,0,0,0,0,0,1,8,Road Facing Homes
neelbad,House,55.0,4583,2.0,New Property,3,2,1,1200.0,0,0,0,0,0,0,1,8,Road Facing Homes
arera colony,Flat,30.0,3750,2.0,Old Property,2,2,2,621.896403578045,0,0,0,0,0,0,0,34,Green View Homes
katara hills,Flat,13.5,3000,1.0,Moderate Property,1,1,0,349.8167270126503,0,0,0,0,0,0,1,13,Green View Homes
hoshangabad road,Flat,55.0,3811,1.0,New Property,3,3,1,1731.6,1,0,0,0,0,0,1,7,Green View Homes
hoshangabad road,House,140.0,12000,3.0,New Property,4,4,2,2500.0,0,0,0,0,0,0,0,34,Premium Scenic Homes
ayodhya bypass,Flat,45.0,3214,5.0,New Property,3,3,3,1680.0,0,0,0,1,0,0,1,67,Amenity Facing Homes
katara hills,House,200.0,16666,2.0,New Property,4,3,2,2640.0,0,0,1,1,0,0,1,71,Green View Homes
gehu kheda,Flat,25.0,3125,4.0,Moderate Property,2,2,0,621.896403578045,0,0,0,0,0,0,1,8,Road Facing Homes
ashoka garden,Flat,40.0,7448,3.0,Old Property,2,2,1,560.0,0,0,0,0,0,0,1,21,Road Facing Homes
awadhpuri,Flat,35.0,4117,3.0,New Property,2,2,2,1020.0,0,0,0,0,0,0,0,22,Road Facing Homes
hoshangabad road,Flat,55.0,4077,6.0,New Property,3,3,3,1618.8,0,0,0,0,0,0,0,64,Amenity Facing Homes
kolar road,House,40.0,3968,2.0,New Property,3,3,1,1008.0,0,0,0,0,0,0,1,10,Road Facing Homes
bhopal,Flat,32.0,2978,2.0,Moderate Property,2,2,1,850.0,0,0,0,0,0,0,1,12,Road Facing Homes
kolar road,House,65.0,7222,2.0,Moderate Property,3,2,1,900.0,0,0,0,0,0,0,1,13,Road Facing Homes
gandhinagar,Flat,33.99,3468,5.0,New Property,3,3,2,1200.0,0,0,0,0,0,0,1,79,Amenity Facing Homes
awadhpuri,House,55.0,6875,2.0,Moderate Property,3,3,1,1400.0,0,0,0,0,0,0,1,4,Amenity Facing Homes
piplani,House,60.0,10000,2.0,Moderate Property,2,2,1,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
chuna bhatti,House,670.0,16750,2.0,New Property,6,6,3,8700.0,1,1,1,1,0,0,2,80,Amenity Facing Homes
katara hills,House,215.0,9347,3.0,New Property,5,5,2,3600.0,0,1,0,1,0,0,1,14,Amenity Facing Homes
hoshangabad road,Flat,30.0,2269,1.0,New Property,3,3,3,1027.6838069127193,0,0,0,0,0,0,1,58,Green View Homes
shahpura,House,35.0,7777,2.0,Old Property,2,2,1,450.0,0,0,0,1,0,0,1,24,Green View Homes
chuna bhatti,Flat,20.0,2167,1.0,Old Property,2,2,3,923.0,0,0,0,0,0,0,1,0,Road Facing Homes
shahpura,Flat,17.0,2720,2.0,Moderate Property,2,2,1,485.85656529534765,1,0,0,0,0,0,1,0,Road Facing Homes
hoshangabad road,Flat,48.0,4266,2.0,Moderate Property,3,2,2,1350.0,0,0,0,0,0,0,0,41,Amenity Facing Homes
kolar road,Flat,35.0,2333,4.0,Moderate Property,3,2,2,1800.0,0,0,0,0,0,0,1,71,Green View Homes
kolar road,House,38.0,6333,1.0,Under Construction,3,3,1,1200.0,0,0,0,0,0,0,1,43,Green View Homes
karond,Flat,35.0,3500,1.0,New Property,3,2,1,777.3705044725563,0,0,0,0,0,0,1,0,Road Facing Homes
habib ganj,House,261.0,17400,3.0,New Property,4,3,3,1500.0,1,0,0,1,0,0,2,12,Road Facing Homes
bhopal,House,72.0,3428,2.0,Old Property,5,4,1,2100.0,0,0,0,0,0,0,1,0,Road Facing Homes
gandhinagar,House,12.5,2777,1.0,Old Property,1,1,0,450.0,0,0,0,0,0,0,1,44,Green View Homes
hoshangabad road,Flat,140.0,5833,8.0,New Property,4,4,3,2410.0,1,0,0,1,1,0,1,27,Amenity Facing Homes
ayodhya bypass,Flat,26.0,3714,3.0,Moderate Property,2,2,1,840.0,0,0,0,0,0,0,0,18,Road Facing Homes
shahjahanabad,Flat,50.0,5000,1.0,Moderate Property,3,2,3,1200.0,0,0,0,0,0,0,1,28,Green View Homes
piplani,Flat,14.5,223,3.0,Old Property,1,1,1,7800.0,0,0,0,0,0,0,1,0,Road Facing Homes
katara hills,Flat,25.0,3333,3.0,Moderate Property,2,1,1,900.0,0,0,0,0,0,0,2,14,Road Facing Homes
katara hills,House,82.0,6833,2.0,New Property,3,3,1,1900.0,0,0,0,0,0,0,1,47,Green View Homes
bawadia kalan,Flat,40.0,3076,4.0,Old Property,2,2,1,1010.5816558143231,0,0,0,0,0,0,1,17,Road Facing Homes
bawadia kalan,Flat,55.0,7133,1.0,Moderate Property,2,2,2,660.0,0,0,0,1,0,0,2,103,Green View Homes
gandhinagar,House,75.0,7614,2.0,New Property,4,4,2,985.0,0,0,0,0,0,0,1,4,Green View Homes
gandhinagar,House,135.0,10800,2.0,Old Property,3,2,2,1250.0,0,0,0,0,0,0,1,38,Road Facing Homes
bagmugaliya,Flat,40.0,4000,2.0,New Property,3,2,1,1200.0,0,0,0,0,0,0,1,28,Green View Homes
govindpura,Flat,30.0,2857,2.0,Old Property,3,2,2,1260.0,0,0,0,1,0,0,1,0,Premium Scenic Homes
aishbagh,Flat,23.0,3833,1.0,Old Property,2,2,1,720.0,0,0,0,1,0,0,0,0,Road Facing Homes
arera colony,Flat,40.0,5479,3.0,Old Property,3,2,2,876.0,0,0,0,0,0,0,1,10,Road Facing Homes
peer gate area,Flat,27.0,4153,3.0,Moderate Property,2,2,1,650.0,0,0,0,0,0,0,1,0,Road Facing Homes
bhopal,House,18.0,1000,2.0,Old Property,5,4,2,1800.0,0,0,0,0,0,0,1,0,Road Facing Homes
arera colony,House,295.0,12291,1.0,Old Property,3,3,1,2400.0,0,0,0,0,0,0,1,4,Road Facing Homes
habib ganj,House,251.0,15000,3.0,New Property,7,6,3,3600.0,0,1,0,0,0,0,1,0,Road Facing Homes
hoshangabad road,Flat,38.0,2814,2.0,New Property,3,3,2,1620.0,0,0,0,0,0,0,1,55,Green View Homes
gandhinagar,House,65.0,6532,2.0,New Property,4,2,1,1750.0,0,0,0,0,0,0,1,3,Green View Homes
bypass road,House,29.0,3790,1.0,New Property,1,1,1,765.0,0,0,0,0,0,0,1,0,Road Facing Homes
ayodhya bypass,Flat,35.0,4545,6.0,New Property,2,2,2,770.0,0,0,0,0,0,0,0,13,Green View Homes
bagmugaliya,House,138.0,11500,2.0,Old Property,3,3,2,1200.0,0,0,0,0,0,0,1,19,Road Facing Homes
bawadia kalan,House,500.0,23809,3.0,New Property,4,3,0,6000.0,0,0,0,0,0,0,1,37,Road Facing Homes
ayodhya bypass,House,215.0,10000,3.0,Old Property,5,5,3,2150.0,1,1,0,1,1,0,1,15,Green View Homes
bhopal,House,40.0,3333,1.0,New Property,3,2,1,1200.0,0,0,0,0,0,0,0,8,Road Facing Homes
bypass road,House,75.0,6510,3.0,Moderate Property,3,2,2,1152.0,0,0,0,0,0,0,1,0,Road Facing Homes
kolar road,Flat,24.99,2687,2.0,Moderate Property,2,2,1,751.0,0,0,0,1,1,0,1,31,Premium Scenic Homes
central bhopal,Flat,65.0,4814,7.0,Old Property,2,2,3,1049.4501810379509,0,0,0,0,0,1,0,66,Amenity Facing Homes
piplani,House,150.0,7500,2.0,Old Property,4,4,2,2000.0,0,0,0,1,0,0,1,19,Road Facing Homes
gandhinagar,House,90.0,10000,2.0,New Property,3,3,1,900.0,0,0,0,0,0,0,1,26,Road Facing Homes
kolar road,Flat,27.8,2865,1.0,Moderate Property,2,2,2,917.0,0,0,0,0,0,0,0,57,Amenity Facing Homes
bawadia kalan,House,137.0,8562,2.0,New Property,4,3,2,1600.0,1,0,0,1,0,0,1,11,Green View Homes
ayodhya bypass,Flat,55.0,2558,8.0,New Property,4,3,3,2580.0,0,0,0,0,0,0,1,38,Amenity Facing Homes
salaiya,House,110.0,11363,2.0,New Property,3,3,2,2000.0,0,0,0,0,0,0,1,9,Road Facing Homes
hoshangabad road,House,150.0,10000,2.0,Moderate Property,4,4,2,2400.0,0,0,0,0,0,0,0,79,Green View Homes
habib ganj,House,48.0,2400,3.0,New Property,6,2,2,2000.0,0,0,0,0,0,0,1,7,Green View Homes
shahjahanabad,House,560.0,13526,1.0,Old Property,5,5,2,4140.0,0,1,1,1,0,0,1,35,Green View Homes
ayodhya nagar,House,92.8,5458,2.0,Moderate Property,4,3,1,1800.0,0,0,0,1,0,0,0,3,Green View Homes
arera colony,House,15.0,2500,1.0,Old Property,2,1,0,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
katara hills,House,60.0,4285,2.0,New Property,3,3,1,1400.0,0,0,0,0,0,0,1,9,Green View Homes
salaiya,Flat,35.0,2564,5.0,New Property,2,2,1,1011.0,0,0,0,0,0,0,1,53,Amenity Facing Homes
shahjahanabad,Flat,75.0,4687,2.0,Moderate Property,3,2,3,1243.79280715609,0,0,0,0,0,0,1,0,Road Facing Homes
chuna bhatti,Flat,19.5,1498,3.0,New Property,3,2,0,1075.0,0,0,0,0,0,0,1,12,Road Facing Homes
katara hills,Flat,31.0,2460,1.0,New Property,3,2,2,1100.0,0,0,0,0,0,0,1,45,Amenity Facing Homes
misrod,House,49.0,6125,2.0,New Property,3,3,1,800.0,0,0,0,0,0,0,1,0,Amenity Facing Homes
shahjahanabad,House,120.0,8000,2.0,Old Property,5,4,2,1500.0,0,0,0,0,1,0,0,0,Road Facing Homes
shahpura,Flat,125.0,6578,6.0,New Property,4,4,2,2280.0,0,0,0,0,0,0,1,35,Amenity Facing Homes
bhopal,House,250.0,10000,3.0,Moderate Property,5,4,3,2500.0,0,0,0,0,0,0,1,0,Road Facing Homes
shahjahanabad,House,30.0,6666,2.0,New Property,2,2,2,450.0,0,0,0,0,0,0,1,31,Green View Homes
patel nagar,Flat,57.0,2850,1.0,Moderate Property,4,4,3,1500.0,0,0,0,0,0,0,1,11,Road Facing Homes
peer gate area,Flat,15.0,2500,1.0,Old Property,2,1,0,720.0,0,0,0,0,0,0,1,0,Road Facing Homes
mahawadiya,Flat,16.75,2133,3.0,New Property,2,2,1,610.2358460109566,0,0,0,0,0,0,1,49,Road Facing Homes
khajuri kalan,House,78.0,7878,2.0,New Property,3,3,2,990.0,0,0,0,0,0,0,1,3,Road Facing Homes
bhopal,House,15.0,1785,1.0,New Property,1,1,0,840.0,0,0,0,0,0,0,1,14,Green View Homes
mahawadiya,Flat,22.0,2820,3.0,New Property,3,2,3,936.0,0,0,0,0,0,0,1,49,Road Facing Homes
hoshangabad road,House,95.0,5000,2.0,Moderate Property,3,3,1,2000.0,0,0,0,0,0,0,1,22,Road Facing Homes
shahjahanabad,House,120.0,12000,3.0,Old Property,2,5,2,2800.0,1,0,0,0,0,0,0,22,Green View Homes
kolar road,House,68.0,8500,2.0,Moderate Property,3,3,3,800.0,1,0,0,1,0,0,1,34,Amenity Facing Homes
govindpura,House,130.0,8666,2.0,Moderate Property,4,3,3,1500.0,1,0,1,1,0,0,1,0,Road Facing Homes
misrod,House,300.0,12000,1.0,Old Property,4,3,1,2500.0,0,0,0,0,0,0,1,0,Road Facing Homes
arera colony,House,432.0,18000,2.0,Old Property,4,3,2,3500.0,1,0,0,1,1,0,1,12,Green View Homes
arera colony,Flat,45.0,4500,1.0,Old Property,3,2,2,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
misrod,Flat,69.0,3717,3.0,New Property,3,3,2,1561.0,1,1,0,1,1,0,0,173,Premium Scenic Homes
gandhinagar,House,250.0,7812,2.0,Under Construction,5,5,2,3200.0,1,0,1,1,0,0,1,51,Amenity Facing Homes
central bhopal,Flat,25.0,5000,1.0,Old Property,2,2,0,600.0,0,0,0,0,0,0,1,0,Road Facing Homes
mahawadiya,Flat,23.0,2346,1.0,Old Property,3,2,3,1250.0,0,0,0,0,0,0,1,9,Road Facing Homes
outside bhopal,House,19.9,2531,1.0,New Property,2,1,1,786.0,0,0,0,0,1,0,1,16,Green View Homes
bawadia kalan,Flat,70.0,5600,5.0,New Property,2,3,2,1500.0,0,0,0,1,0,0,1,25,Green View Homes
salaiya,House,86.0,7166,1.0,New Property,3,3,2,1200.0,0,0,0,0,0,0,1,36,Green View Homes
aishbagh,House,55.0,12222,4.0,Old Property,1,4,1,450.0,0,0,0,0,0,0,1,20,Green View Homes
hoshangabad road,Flat,40.0,2985,5.0,Moderate Property,3,2,2,1041.6764759932253,1,0,0,0,0,0,0,42,Amenity Facing Homes
hoshangabad road,House,225.0,7530,2.0,New Property,7,7,3,5125.0,0,0,0,0,0,0,1,55,Amenity Facing Homes
katara hills,Flat,20.0,2724,6.0,Moderate Property,2,2,1,880.8,0,0,0,0,0,0,0,49,Amenity Facing Homes
misrod,House,29.0,5664,1.0,New Property,1,1,0,512.0,0,0,0,0,0,0,1,7,Road Facing Homes
katara hills,Flat,32.0,3200,4.0,Moderate Property,3,2,1,1158.0,0,0,0,0,0,0,1,33,Amenity Facing Homes
hoshangabad road,House,125.0,8333,2.0,New Property,4,4,2,2300.0,1,1,1,1,0,0,1,63,Amenity Facing Homes
katara hills,House,95.0,9047,2.0,New Property,3,3,1,1750.0,0,0,0,1,0,0,0,70,Green View Homes
bhopal,Flat,23.0,4181,1.0,Old Property,2,2,1,660.0,0,0,0,0,0,0,1,29,Road Facing Homes
bhopal,House,65.0,9027,2.0,Old Property,3,2,1,720.0,0,0,0,0,0,0,1,4,Green View Homes
shahpura,House,140.0,7000,2.0,Old Property,4,4,1,2000.0,0,0,0,0,0,0,1,9,Road Facing Homes
misrod,House,120.0,10300,2.0,New Property,4,4,2,2000.0,1,0,0,0,1,0,1,16,Green View Homes
bawadia kalan,Flat,35.0,4375,2.0,New Property,2,2,1,800.0,0,0,0,0,0,0,1,25,Amenity Facing Homes
karond,House,95.0,9500,2.0,New Property,4,4,2,1000.0,0,0,0,0,0,0,1,20,Road Facing Homes
gehu kheda,Flat,32.0,5633,1.0,New Property,2,2,2,681.6,0,0,0,1,0,0,1,0,Road Facing Homes
katara hills,Flat,30.0,2380,6.0,Under Construction,3,2,2,902.0,0,0,0,0,0,1,1,25,Amenity Facing Homes
neelbad,House,58.0,7435,2.0,New Property,2,2,1,780.0,0,0,0,0,0,0,1,42,Road Facing Homes
ayodhya bypass,House,150.0,12000,2.0,Moderate Property,4,4,2,1250.0,1,0,0,0,0,0,1,15,Green View Homes
central bhopal,Flat,141.0,10057,8.0,Old Property,3,3,2,1682.3999999999999,0,0,0,0,0,0,1,48,Green View Homes
awadhpuri,House,52.0,4828,1.0,Moderate Property,2,2,0,1077.0,0,0,0,0,0,0,1,7,Road Facing Homes
arera colony,Flat,50.0,3333,2.0,Old Property,3,2,3,1327.0,0,0,0,0,0,0,1,16,Road Facing Homes
bagmugaliya,House,75.0,7894,2.0,New Property,3,2,1,950.0,0,0,0,0,0,0,1,3,Road Facing Homes
misrod,House,80.0,8000,2.0,New Property,5,3,2,1000.0,1,1,0,0,0,0,1,9,Road Facing Homes
ayodhya bypass,Flat,32.0,4000,3.0,Old Property,2,2,1,960.0,0,0,0,0,0,0,1,30,Road Facing Homes
katara hills,House,80.0,8255,2.0,Moderate Property,3,3,0,969.0,0,0,0,0,0,0,1,13,Green View Homes
bypass road,House,20.0,1481,1.0,New Property,1,1,1,1350.0,0,0,0,0,0,0,1,0,Green View Homes
bhopal,House,70.0,5617,2.0,Moderate Property,3,3,2,1246.0,1,0,0,1,0,0,1,7,Road Facing Homes
misrod,House,140.0,6666,2.0,New Property,5,4,3,4200.0,1,1,0,1,1,0,1,17,Road Facing Homes
mahawadiya,Flat,22.0,2046,2.0,Moderate Property,3,2,3,1290.0,0,0,0,0,0,0,1,25,Amenity Facing Homes
mandideep,House,40.0,5000,1.0,Old Property,3,2,0,800.0,0,0,0,0,0,0,1,4,Green View Homes
gehu kheda,Flat,37.0,2587,5.0,New Property,3,3,2,1430.0,0,0,0,0,0,0,1,0,Road Facing Homes
hoshangabad road,House,36.1,4583,1.0,Moderate Property,3,3,1,788.0,0,0,0,0,0,0,1,10,Green View Homes
neelbad,House,50.0,3267,2.0,Moderate Property,2,2,1,1530.0,0,0,0,0,0,0,1,42,Road Facing Homes
habib ganj,House,320.0,13333,2.0,Old Property,6,4,3,3600.0,0,0,0,1,0,0,1,32,Road Facing Homes
central bhopal,House,170.0,17000,2.0,Old Property,5,4,1,1000.0,0,0,0,0,0,0,2,36,Green View Homes
lalgathi,House,225.0,15000,2.0,Moderate Property,4,3,1,2500.0,0,0,0,1,0,0,2,19,Amenity Facing Homes
lalgathi,Flat,25.0,3333,1.0,Moderate Property,2,2,1,900.0,0,0,0,0,0,0,1,13,Road Facing Homes
central bhopal,Flat,250.0,11627,2.0,New Property,3,4,2,2580.0,0,1,0,0,0,0,0,35,Premium Scenic Homes
aishbagh,Flat,18.5,2424,1.0,New Property,3,2,1,915.5999999999999,0,0,0,0,0,0,2,0,Road Facing Homes
ayodhya bypass,House,155.0,6078,3.0,New Property,5,4,1,2550.0,0,0,0,0,0,0,1,0,Road Facing Homes
karond,House,35.0,4666,2.0,Moderate Property,2,3,2,750.0,0,0,0,0,0,0,1,0,Road Facing Homes
gehu kheda,House,40.0,3636,2.0,New Property,3,3,1,1100.0,1,0,0,1,0,0,1,14,Green View Homes
katara hills,Flat,34.0,2142,6.0,Moderate Property,3,2,3,1088.3187062615787,0,0,0,0,0,0,1,67,Amenity Facing Homes
kolar road,Flat,22.0,3520,2.0,Moderate Property,2,2,0,485.85656529534765,0,0,0,0,0,0,1,0,Road Facing Homes
ayodhya bypass,Flat,55.0,3089,1.0,New Property,3,3,3,1794.0,1,0,0,1,0,0,1,67,Premium Scenic Homes
karond,House,55.0,4761,1.0,Moderate Property,2,2,2,1050.0,0,0,0,0,0,0,1,25,Green View Homes
kolar road,Flat,15.0,3409,3.0,Old Property,2,2,1,528.0,0,0,0,0,0,0,1,42,Road Facing Homes
kolar road,Flat,17.0,2931,2.0,Old Property,2,2,1,696.0,0,0,0,0,0,0,1,6,Road Facing Homes
gehu kheda,Flat,32.0,2461,3.0,Moderate Property,3,2,1,1300.0,0,0,0,0,0,0,0,49,Road Facing Homes
hoshangabad road,House,40.0,5000,2.0,New Property,3,3,2,1100.0,0,0,0,0,0,0,1,3,Premium Scenic Homes
kolar road,House,225.0,18000,3.0,New Property,4,4,2,1250.0,0,0,0,0,0,0,2,10,Green View Homes
navi bagh,House,102.0,7005,2.0,New Property,4,3,1,1456.0,0,0,0,1,0,0,1,3,Road Facing Homes
salaiya,House,90.0,10227,3.0,New Property,4,4,2,2000.0,1,0,0,0,1,0,1,13,Green View Homes
neelbad,House,16.0,2123,1.0,New Property,2,2,1,730.0,0,0,0,0,0,0,1,8,Road Facing Homes
bhopal,House,500.0,12500,2.0,Moderate Property,4,4,2,4500.0,1,0,0,1,0,0,0,106,Amenity Facing Homes
hoshangabad road,Flat,40.0,3530,6.0,New Property,2,2,1,880.7607815674062,0,0,0,0,0,0,0,54,Green View Homes
shirdipuram,Flat,35.0,2800,2.0,New Property,2,2,1,1067.0,0,0,0,0,0,0,1,57,Green View Homes
hoshangabad road,House,500.0,13513,3.0,New Property,6,7,3,5500.0,1,1,0,1,1,0,2,116,Green View Homes
gandhinagar,Flat,25.0,3333,1.0,Old Property,2,2,1,583.0278783544172,0,0,0,0,0,0,1,0,Road Facing Homes
kolar road,House,30.0,3750,1.0,New Property,2,1,0,800.0,0,0,0,0,0,0,1,13,Road Facing Homes
kolar road,Flat,55.0,6875,1.0,Moderate Property,3,2,1,800.0,0,0,0,0,0,0,1,6,Road Facing Homes
gandhinagar,House,12.5,2777,2.0,Old Property,2,1,0,450.0,0,0,0,0,0,0,1,44,Green View Homes
mandideep,Flat,20.0,3333,3.0,New Property,2,2,1,720.0,0,0,0,0,0,0,1,0,Road Facing Homes
shahpura,Flat,21.0,3000,1.0,Old Property,4,3,0,700.0,0,0,0,0,0,0,1,0,Road Facing Homes
hoshangabad road,Flat,32.0,2370,1.0,Moderate Property,3,2,3,1049.4501810379509,0,0,0,0,0,0,1,0,Road Facing Homes
gandhinagar,House,25.0,2500,1.0,New Property,2,2,1,1000.0,0,0,0,0,0,0,1,0,Road Facing Homes
ayodhya bypass,House,60.0,7500,2.0,Old Property,3,3,2,800.0,1,0,0,1,0,0,1,13,Green View Homes
awadhpuri,Flat,29.0,3310,5.0,Moderate Property,3,2,2,850.0,0,0,0,0,1,0,0,59,Green View Homes
hoshangabad road,House,45.0,5625,2.0,New Property,3,3,1,1560.0,1,0,0,1,0,0,1,4,Green View Homes
katara hills,Flat,30.0,4285,8.0,Moderate Property,2,2,2,840.0,0,0,0,0,0,0,2,35,Green View Homes
outside bhopal,House,49.0,4949,2.0,New Property,3,2,2,1000.0,0,0,0,0,0,0,1,28,Green View Homes
outside bhopal,House,35.0,5384,3.0,New Property,3,4,2,650.0,0,0,0,0,0,0,1,0,Road Facing Homes
ayodhya nagar,House,110.0,8730,2.0,Old Property,3,3,1,1650.0,0,0,0,0,1,0,0,76,Road Facing Homes
lalgathi,Flat,75.0,5068,5.0,Moderate Property,3,3,0,1480.0,0,0,0,0,0,0,1,0,Road Facing Homes
kolar road,House,75.0,6818,2.0,New Property,3,3,2,1100.0,0,0,0,0,0,0,1,13,Amenity Facing Homes
hoshangabad road,Flat,55.0,4074,5.0,New Property,3,2,2,1185.0,0,0,0,0,0,0,0,39,Road Facing Homes
kolar road,Flat,24.0,3692,1.0,Old Property,2,2,2,780.0,0,0,0,0,1,0,1,9,Green View Homes
mahawadiya,Flat,22.0,2200,2.0,Moderate Property,3,2,0,777.3705044725563,0,0,0,0,0,0,1,25,Amenity Facing Homes
karond,Flat,26.0,3527,3.0,New Property,2,2,2,884.4,0,0,0,0,0,0,1,22,Road Facing Homes
katara hills,Flat,25.0,3703,1.0,Moderate Property,2,2,1,810.0,0,0,0,0,0,0,1,59,Amenity Facing Homes
bypass road,House,50.0,2500,1.0,Moderate Property,4,3,0,2000.0,0,0,0,0,0,0,1,0,Green View Homes
central bhopal,Flat,200.0,11331,4.0,New Property,3,3,2,1765.0,0,1,0,0,0,0,0,35,Premium Scenic Homes
bawadia kalan,Flat,22.0,2933,3.0,New Property,2,2,1,583.0278783544172,0,0,0,0,1,0,1,14,Road Facing Homes
navi bagh,Flat,11.5,2090,2.0,New Property,1,1,1,660.0,0,0,0,0,0,0,1,10,Green View Homes
kolar road,House,400.0,26666,3.0,New Property,2,1,0,1500.0,0,0,0,0,0,0,0,0,Road Facing Homes
misrod,Flat,20.0,2985,3.0,Moderate Property,2,1,1,520.8382379966126,0,0,0,0,0,0,1,73,Amenity Facing Homes
peer gate area,House,125.0,11363,2.0,Old Property,4,5,0,3000.0,0,0,1,1,0,0,0,20,Road Facing Homes
ayodhya bypass,Flat,23.9,5975,3.0,Moderate Property,1,1,2,550.0,0,0,0,0,0,0,0,35,Road Facing Homes
kolar road,Flat,49.99,3423,5.0,New Property,3,1,3,1134.960936529932,0,0,0,1,1,0,1,57,Premium Scenic Homes
bawadia kalan,House,150.0,10000,2.0,New Property,4,4,1,3050.0,1,0,0,1,0,0,1,24,Green View Homes
bagmugaliya,House,90.0,8333,2.0,Old Property,3,3,1,2000.0,0,0,0,1,0,0,1,25,Green View Homes
navi bagh,Flat,26.5,2751,2.0,Moderate Property,2,2,2,829.0,0,0,0,0,0,0,2,19,Road Facing Homes
hoshangabad road,Flat,32.0,2285,1.0,Moderate Property,3,2,2,1680.0,0,0,0,0,0,0,1,55,Amenity Facing Homes
habib ganj,Flat,28.0,2883,1.0,Old Property,3,2,1,1165.2,0,0,0,0,0,1,1,3,Road Facing Homes
hoshangabad road,House,215.0,5375,3.0,New Property,5,4,2,4000.0,0,1,0,1,0,0,0,48,Green View Homes
kolar road,Flat,36.0,3512,2.0,New Property,2,2,2,863.0,0,0,0,0,0,0,0,41,Amenity Facing Homes
karond,House,24.0,2000,2.0,New Property,4,2,0,1200.0,0,0,0,0,0,0,1,0,Road Facing Homes
bawadia kalan,Flat,15.0,3488,5.0,Moderate Property,1,1,1,350.0,0,0,0,0,0,0,1,74,Amenity Facing Homes
awadhpuri,Flat,24.0,2555,3.0,Moderate Property,2,2,2,1126.8,0,0,0,0,0,0,1,23,Green View Homes
bhopal,Flat,28.0,3733,3.0,Moderate Property,2,2,0,583.0278783544172,0,0,0,0,0,0,1,0,Road Facing Homes
misrod,Flat,25.5,2712,2.0,Moderate Property,2,2,0,730.7282742042029,0,0,0,0,0,0,1,59,Amenity Facing Homes
katara hills,Flat,29.5,2166,3.0,New Property,2,2,0,1440.0,0,0,0,0,0,0,1,56,Amenity Facing Homes
gandhinagar,Flat,30.0,4000,2.0,Moderate Property,2,1,3,900.0,0,0,0,0,0,0,1,4,Road Facing Homes
patel nagar,House,55.0,6875,1.0,Moderate Property,2,2,0,650.0,0,0,0,0,0,0,1,13,Road Facing Homes
karond,House,60.0,4000,2.0,Old Property,2,2,1,1500.0,0,0,0,0,0,0,1,10,Road Facing Homes
central bhopal,Flat,47.0,4700,1.0,Old Property,2,1,1,809.0,0,0,0,0,0,0,0,3,Road Facing Homes
kolar road,House,65.0,8125,2.0,New Property,3,3,2,1600.0,1,0,0,1,1,0,1,34,Premium Scenic Homes
katara hills,Flat,36.0,3750,2.0,New Property,3,2,2,1152.0,0,0,0,0,0,0,1,62,Green View Homes
gehu kheda,House,45.0,3947,2.0,Old Property,2,3,1,1140.0,0,0,0,0,0,0,1,0,Road Facing Homes
bagmugaliya,House,860.0,12314,3.0,Moderate Property,7,8,2,5400.0,0,1,0,1,1,0,2,23,Amenity Facing Homes
shahpura,House,175.0,11666,2.0,Moderate Property,5,3,1,1500.0,0,0,0,0,1,0,1,24,Green View Homes
gandhinagar,House,42.0,5250,2.0,New Property,3,3,2,800.0,0,0,0,0,0,0,1,9,Road Facing Homes
bawadia kalan,Flat,55.0,5000,5.0,New Property,3,3,2,1320.0,0,0,0,0,0,0,1,50,Amenity Facing Homes
bawadia kalan,Flat,300.0,10909,2.0,Moderate Property,5,5,2,2172.0,0,0,0,0,0,0,0,124,Green View Homes
katara hills,House,125.0,5830,2.0,Moderate Property,4,4,1,2144.0,0,0,0,0,1,0,1,16,Green View Homes
mandideep,Flat,20.0,2666,1.0,New Property,2,2,1,900.0,0,0,0,0,0,0,1,35,Amenity Facing Homes
misrod,Flat,41.0,4505,4.0,New Property,3,2,2,707.4071590700262,0,0,0,0,0,0,0,0,Road Facing Homes
misrod,Flat,10.0,3333,2.0,Moderate Property,1,1,1,360.0,0,0,0,0,0,0,1,46,Road Facing Homes
bawadia kalan,Flat,56.0,3708,1.0,Moderate Property,3,3,2,1173.8294617535598,0,0,0,0,0,0,1,28,Green View Homes
