pname,society,price_outer,price_per_sqft,possesion,description,Area,Configuration,Price,Address,Floor Number,Property Age,furnishing,features,ratings,Facing,Overlooking,Possession in
"4 BHK Flat in Shahpura, Bhopal",Parshv Galaxy,₹1.25 Cr,"₹6,578 /sqft",Ready To Move,"This 4 bhk apartment is available for sale in parshv galaxy, one of the most prominent projects for flats in shahpura, bhopal. This is a east-Facing property. The floor plan additionally contains 4 bedroom(s), 4 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 1900 sq.Ft. This flat is situated on the top floor of this 6 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat comes well built with concrete flooring options. The society is well equipped with many modern amenities, including maintenance staff, visitor parking, park and lift(s). Municipal corporation and borewell/tank provides a regular supply of water to this residential project.","Carpet area: 1900
(176.52 sq.m.)  
sq.ft.","4 Bedrooms , 4 Bathrooms, 2 Balconies","₹ 1.25 Crore+ Govt Charges & Tax
@ 6,578 per sq.ft. (All inclusive, Negotiable) View Price Details","Parshv Galaxy
Shahpura, Bhopal",6th   of 6 Floors,1 to 5 Year Old,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Pool,Park/Garden,Club,Main Road,Others",
"2 BHK Flat in Kolar Road, Bhopal",Faith Imperial Heights,₹19.5 Lac,"₹2,140 /sqft",Ready To Move,"Faith imperial heights is one of bhopal's most sought after destination for apartments and this 2 bhk flat in kolar road is your opportunity to be a part of this community. This is a east-Facing property. The flat is over 911 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 6 floors in total and the flat for sale is located on the 2nd floor. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using vitrified flooring, giving the flat an alluring look. Many of the modern amenities being offered, like club house / community center, lift(s), park, maintenance staff, visitor parking and security personnel, will provide a pleasant living experience for you. The project provides a continuous supply of water to its flats.","Super Built up area 911
(84.63 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 19.5 Lac+ Govt Charges & Tax
@ 2,140 per sq.ft.","Faith Imperial Heights
Kolar Road, Bhopal",2nd   of 6 Floors,1 to 5 Year Old    View Construction Status,"['1 Wardrobe', '1 Bed', '1 Water Purifier', '2 Fan', '1 Exhaust Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Club house / Community Center', 'Waste Disposal', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Main Road,Park/Garden,Others",
"2 BHK Flat in Ayodhya Bypass , Bhopal",Agrawal Sagar Landmark,₹50.64 Lac,"₹6,743 /sqft",Ready To Move,"This 2 bhk flat is located in agrawal sagar landmark, which houses some of the most spacious flats in ayodhya bypass, bhopal. This residential flat is north-East-Facing direction. Containing 2 bedroom(s), 1 bathroom and 2 balconies, this flat is spread over a super built up area of 751 sq.Ft. The property is located on the 7th floor of a 12 floors tall building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The beautifully designed marble flooring enhances the beauty of the flat. All the modern amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, cctv surveillance, lift(s), maintenance staff and visitor parking will make life easier for you. An uninterrupted supply of clean water provides a hassle-Free experience for the residents.","Super Built up area 751
(69.77 sq.m.)  
sq.ft.","2 Bedrooms , 1 Bathroom, 2 Balconies","₹ 50.64 Lac
@ 6,743 per sq.ft. (All inclusive)","Agrawal Sagar Landmark
Ayodhya Bypass , Bhopal",7th   of 12 Floors,5 to 10 Year Old,[],"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",North-East,"Main Road,Pool,Park/Garden",
"3 BHK Flat in ambar apartment mp nagar, Bhopal",Amber apartment mp ngr,₹55 Lac,"₹6,470 /sqft",Ready To Move,"Amber apartment mp ngr is one of bhopal's most sought after destination for apartments and this 3 bhk flat in ambar apartment mp nagar is your opportunity to be a part of this community. Constructed on a carpet area of 850 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 2 balconies. The residential building has 4 floors in total and the flat for sale is located on the 1st floor. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The beautifully designed ceramic flooring enhances the beauty of the flat. Many of the modern amenities being offered, like lift(s) and visitor parking, will provide a pleasant living experience for you. The project provides access to clean water through municipal corporation and borewell/tank supply.","Carpet area: 850
(78.97 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 2 Balconies","₹ 55 Lac
@ 6,470 per sq.ft. (Negotiable) View Price Details","Amber apartment mp ngr
ambar apartment mp nagar, Bhopal",1st   of 4 Floors,5 to 10 Year Old,"['1 Wardrobe', '2 Fan', '1 Exhaust Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Water Storage', 'Visitor Parking']",[],,,
"3 BHK Flat in Bagmugaliya, Bhopal",Paras Hermitage,₹95 Lac,"₹10,555 /sqft",Ready To Move,"This beautiful 3 bhk flat in bagmugaliya, bhopal is situated in paras hermitage, one of the popular residential society in bhopal. The flat occupies a carpet area of 900 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. The flat has a total of 7 floors and this property is situated on 1st floor. This 10+ years old property is available for immediate possession as the project is ready to move. All the modern amenities such as swimming pool, fitness centre / gym, club house / community center, park, shopping centre, lift(s), security personnel and maintenance staff will make life easier for you.","Carpet area: 900
(83.61 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies","₹ 95 Lac
@ 10,555 per sq.ft. (Negotiable) View Price Details","Paras Hermitage
Bagmugaliya, Bhopal",1st   of 7 Floors,10+ Year Old,"['6 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '10 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '3 Bed', '2 Wardrobe', '1 Sofa', 'No Curtains', 'No Microwave', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}, {'': ''}]",,"Main Road,Others",
"3 BHK Flat in Kolar Road, Bhopal",Agrawal Sagar Green Hills,₹62 Lac,"₹4,189 /sqft",Ready To Move,"A spacious 3 bhk flat is available for sale in rudraksh kasturi society, phase 1, salaiya, bhopal, located opposite aakriti greens. With a super built-Up area of 1700 sq.Ft. On the first floor, this east-Facing home offers bright, airy, and well-Ventilated living spaces. The flat comes with three balconies, providing ample natural light and open views. Designed with a modern layout and spacious rooms, it ensures both comfort and functionality for families. Situated in a premium society with well-Maintained amenities, the property enjoys a prime location with easy access to schools, hospitals, and markets. Priced at 62 lakh, this ready-To-Move flat is an excellent choice for those seeking a perfect balance of modern living, convenience, and serene surroundings. For details, please contact","Super Built up area 1480
(137.5 sq.m.)
Built Up area: 1150 sq.ft. (106.84 sq.m.)
Carpet area: 1070 sq.ft. (99.41 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 62 Lac+ Govt Charges & Tax
@ 4,189 per sq.ft. (Negotiable) View Price Details","Agrawal Sagar Green Hills
Kolar Road, Bhopal",1st   of 6 Floors,5 to 10 Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,Others,
"3 BHK Flat in Hoshangabad Road, Bhopal",Globus Coral Woods Commercial,₹60 Lac,"₹5,714 /sqft",Ready To Move,"Check out this 3 bhk apartment for sale in globus coral woods commercial, a popular residential project that houses in-Demand flats in hoshangabad road, bhopal. The flat is facing the east direction. Constructed on a carpet area of 1050 sq.Ft., the flat comprises 3 bedroom(s), 2 bathrooms and 1 balcony. The residential building has 6 floors in total and the flat for sale is located on the 4th floor. Being a ready to move project, you can expect immediate possession of this 0-1 year old property. The flat comes well built with granite flooring options. Moreover, this property offers close proximity to important landmarks such as close to metro station, close to hospital, close to railway station and close to market. Globus coral woods commercial is designed very well to provide modern facilities such as maintenance staff, lift(s), park and visitor parking. The project provides access to clean water through municipal corporation supply.","Carpet area: 1050
(97.55 sq.m.)  
sq.ft.","3 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 60 Lac
@ 5,714 per sq.ft. (Negotiable) View Price Details","Globus Coral Woods Commercial
Hoshangabad Road, Bhopal",4th   of 6 Floors,0 to 1 Year Old,"['3 Wardrobe', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Pool,Park/Garden,Club,Sea facing,Others,Main Road",
"4 BHK Flat in Lalghati, Bhopal",himanshu sheetal tower,₹65 Lac,"₹3,250 /sqft",Ready To Move,Prime location flat near 4 bhk semi-Furnished flat for sale at prime location in bhopal!,"Carpet area: 2000
(185.81 sq.m.)  
sq.ft.","4 Bedrooms , 3 Bathrooms, 3 Balconies","₹ 65 Lac+ Govt Charges & Tax
@ 3,250 per sq.ft. (Negotiable) View Price Details","himanshu sheetal tower
Lalghati, Bhopal",6th   of 6 Floors,5 to 10 Year Old,"['3 Wardrobe', '6 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,,
"2 BHK Flat in Khajuri Kalan , Bhopal",Kalyani Kunj Tower,₹25 Lac,"₹3,373 /sqft",Ready To Move,"02 bhk flat are available in kalyani kunj 1. Sunrise view 2 balcony open fo all rooftop with acupunture walking tracks. 2. 02 times water supply, 24 hrs round the clock security 3. Near 04 lane khajuri kalan road. 4. Separate parking with numbering and open parking for all.","Built Up area: 741
(68.84 sq.m.)  
sq.ft.","2 Bedrooms , 2 Bathrooms, 1 Balcony","₹ 25 Lac
@ 3,373 per sq.ft. (Negotiable)","Kalyani Kunj Tower
Khajuri Kalan , Bhopal",6th   of 7 Floors,1 to 5 Year Old,"['1 Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Park', 'Shopping Centre', 'Rain Water Harvesting']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",,,
"3 BHK Flat in Hoshangabad Road, Bhopal",covered campus society,₹1.15 Cr,"₹6,571 /sqft",Ready To Move,Spacious 3bhk flat for sale Covered campus society Main road Near by ashima mall,"Super Built up area 1750
(162.58 sq.m.)
Carpet area: 1150 sq.ft. (106.84 sq.m.)  
sq.ft.","3 Bedrooms , 3 Bathrooms, 2 Balconies with Others","₹ 1.15 Crore
@ 6,571 per sq.ft. View Price Details","covered campus society
Hoshangabad Road, Bhopal",10th   of 17 Floors,1 to 5 Year Old,"['3 Wardrobe', '3 Fan', '1 Exhaust Fan', '2 Geyser', '3 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","[{'': ''}, {'': ''}, {'': ''}, {'': ''}]",East,"Main Road,Others,Club,Sea facing,Park/Garden,Pool",
