pname,society,price_outer,price_per_sqft,possesion,description,Area,Floor Number,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,Floor_On,Total_Floors,area
"3 BHK Flat in Shahpura, Bhopal",green heights,75.0,6000,Ready To Move,"Situated in shahpura, bhopal, green heights is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. This property faces the east direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 1250 sq.Ft. This flat is situated on the 1st floor of this 6 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. The well built vitrified flooring enhances the aesthetic appeal of this flat. Proximity to landmarks like close to mall makes this an ideal property for families. The flat will offer a modern lifestyle as it is presented with many of the amenities such as maintenance staff, visitor parking, park and lift(s). The residential project is well equipped to meet all your water needs through access to municipal corporation and borewell/tank supply.","Carpet area: 1250
(116.13 sq.m.)  
sq.ft.",1st   of 6 Floors,East,5 to 10 Year Old,"['3 Wardrobe', '4 Fan', '1 Exhaust Fan', '3 Geyser', '9 Light', '1 Chimney', '1 Modular Kitchen', '3 AC', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",,3,3,2,Not Available,1,6,1250.0
"3 BHK Flat in MP Nagar, Bhopal",keelandev apartments,185.0,10481,Ready To Move,For sale 3.5 bhk flat kilandev tower shivaji nagar bhopal Best rental services,"Super Built up area 1765
(163.97 sq.m.)  
sq.ft.",5th   of 10 Floors,North-West,1 to 5 Year Old,"['2 Wardrobe', '3 Fan', '1 Exhaust Fan', '2 Geyser', '8 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park']",Main Road,3,3,2, servant room,5,10,1765.1
"2 BHK Flat in New Central Jail, Bhopal",satya prakash nice space,35.0,2788,Ready To Move,Luxurious 2 bhk apartment with all the modern amenities,"Super Built up area 1255
(116.59 sq.m.)
Built Up area: 900 sq.ft. (83.61 sq.m.)  
sq.ft.",3rd   of 8 Floors,West,1 to 5 Year Old,,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","Park/Garden,Club,Pool,Main Road",2,2,3,Not Available,3,8,1255.38
"3 BHK Flat in Hoshangabad Road, Bhopal",lakhumal nikhil nestles,48.0,2953,Ready To Move,"Situated in hoshangabad road, bhopal, lakhumal nikhil nestles is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in bhopal is your opportunity to be a part of this community. This is a south-West-Facing property. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1625 sq.Ft. The property is located on the 1st floor of a 6 floors tall building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The well built vitrified flooring enhances the aesthetic appeal of this flat. The society complex is in the close vicinity of close to school, close to market, close to hospital and close to railway station, making it an ideal home for a relaxed lifestyle. All the modern amenities such as fitness centre / gym, club house / community center, park, shopping centre, lift(s), security personnel, maintenance staff, water softening plant and visitor parking will make life easier for you. The society provides continuous water supply from municipal corporation and borewell/tank.","Super Built up area 1625
(150.97 sq.m.)
Built Up area: 1440 sq.ft. (133.78 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.",1st   of 6 Floors,South-West,1 to 5 Year Old,"['1 Water Purifier', '1 Fridge', '6 Fan', '1 Exhaust Fan', '1 Geyser', '1 Stove', '6 Light', '1 Chimney', '2 AC', '1 Curtains', '1 Modular Kitchen', '1 TV', '2 Wardrobe', '2 Bed', '1 Sofa', '1 Washing Machine', 'No Dining Table', 'No Microwave']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","Park/Garden,Club,Main Road,Others,Sea facing",3,3,3," pooja room,servant room,study room,others",1,6,1625.47
"2 BHK Flat in Sanjeev Nagar, Bhopal",ripl maple tree,33.0,3038,Ready To Move,Luxurious 2 bhk apartment with all the modern amenities,"Super Built up area 1086
(100.89 sq.m.)  
sq.ft.",5th   of 7 Floors,East,5 to 10 Year Old,"['2 Wardrobe', '2 Bed', '1 Water Purifier', '4 Fan', '1 Sofa', '1 Exhaust Fan', '1 Geyser', '8 Light', '1 Curtains', '1 AC', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","Park/Garden,Club,Main Road",2,2,1,Not Available,5,7,1086.24
"3 BHK Flat in Sanjeev Nagar, Bhopal",ripl maple tree,45.0,2830,Ready To Move,"Check out this 3 bhk apartment for sale in ripl maple tree, a popular residential project that houses in-Demand flats in sanjeev nagar, bhopal. The flat is over 1590 sq.Ft. Built up area and comes with 3 bedroom(s), 2 bathrooms and 1 balcony. The property is located on the 4th floor of a 7 floors tall building. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move. The society is well equipped with many modern amenities, including swimming pool, fitness centre / gym, park, cctv surveillance and lift(s).","Built Up area: 1590
(147.72 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.",4th   of 7 Floors,NA,1 to 5 Year Old,"['5 Fan', '5 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']",,3,2,1, others,4,7,1590.11
"3 BHK Flat in Sivoy, Bhopal",mirchandani shalimar campus,42.0,3230,Ready To Move,It has 3 bedrooms 2 bathrooms and 3 balconies in the prime area of bhopal. The kitchen is modular with sliding trolley and each room has wooden work. The storage space is enough in rooms and kitchen. It has well spaced hall and dining area. This property in the campus is having some unique extra entrance space which makes a difference from other flats in the society and the floor is also spacious. It has a newly upgraded lift and enough space for parking 2-3 four wheelers and 3-4 two wheelers. This campus is very secure and guarded 24/7.,"Super Built up area 1300
(120.77 sq.m.)
Carpet area: 875 sq.ft. (81.29 sq.m.)  
sq.ft.",2nd   of 3 Floors,West,10+ Year Old,"['5 Fan', '1 Exhaust Fan', '2 Geyser', '10 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity']",Park/Garden,3,2,3,Not Available,2,3,1300.31
"3 BHK Flat in Hoshangabad Road, Bhopal",lakhumal nikhil nestles,50.0,3076,Ready To Move,"Covered campus, semi furnished, moduler kitchen, shiv temple infront of building, garden facing","Super Built up area 1625
(150.97 sq.m.)  
sq.ft.",6th   of 6 Floors,North,5 to 10 Year Old,"['1 Wardrobe', '1 Water Purifier', '1 Fan', '1 Sofa', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","Park/Garden,Club",3,3,3," pooja room,study room",6,6,1625.49
"3 BHK Flat in Karond, Bhopal",surya plaza,35.0,3500,Ready To Move,"We are the proud owners of this 3 bhk apartment available in surya plaza, karond, bhopal. This it is a and the unit is located on 1st floor and has a super built-Up area of 1000 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1000
(92.9 sq.m.)  
sq.ft.",1st   of 3 Floors,NA,1 to 5 Year Old,,,,3,2,1,Not Available,1,3,1000.0
"2 BHK Flat in Dam Kheda, Bhopal",saikripa apartment mandakini colony kolar road,38.0,3830,Ready To Move,"Well connected to the main road,all facilities like( Hospital, gym,grocery shop,banks, movie theater, branded out lets pizza hut, dominos, belzium buffle, vishal mega mart, indian cafe house, baapu ki kutitya, bata, khadim etc and many more) are available within 5min of reach. J.K hospital , maruti service centre, tvs, honda, hyundai are also very near.Bhoj university is also just within 400m distance.Property is located very much at the prime place where, it is very much demanded for rent to students, doctors, nurses.","Built Up area: 992
(92.16 sq.m.)
Carpet area: 694 sq.ft. (64.47 sq.m.)  
sq.ft.",2nd   of 3 Floors,East,10+ Year Old,"['3 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '8 Light', '1 TV', '1 Modular Kitchen', '1 Curtains', '2 Bed', '4 Wardrobe', 'No AC', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Sofa', 'No Washing Machine', 'No Water Purifier']","['High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors']","Park/Garden,Main Road,Others",2,2,2,Not Available,2,3,992.17
"3 BHK Flat in Kolar Road, Bhopal",samriddhi apartment,25.0,2500,Ready To Move,Residential apartment for sell.Located on 1st floor out of the 5 located in vinit kunj.It is a unfurnished property.The property has 3 bedrooms with 2 bathrooms .Available at an expected price of rs 3000000.The property comes with a good construction quality which ages 1-5 years old property. Jio fiber facility available.,"Super Built up area 900
(83.61 sq.m.)
Carpet area: 850 sq.ft. (78.97 sq.m.)  
sq.ft.",1st   of 5 Floors,NA,5 to 10 Year Old,,"['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water Storage', 'Park']",,3,2,1,Not Available,1,5,1000.0
"3 BHK Flat in Mathai nagar CTO bairagarh, Bhopal",app,35.0,3500,Ready To Move,Very good condition just like new all furnished wooden work nagar nigam ka water connection hai aur bor bhi hai,"Carpet area: 1000
(92.9 sq.m.)  
sq.ft.",1st   of 3 Floors,East,1 to 5 Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Sofa', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],,3,2,1,Not Available,1,3,1000.0
"2 BHK Flat in Ashoka Garden, Bhopal",deep apartment,25.0,4310,Ready To Move,Ashoka hights apartment parihaar chourahe se 100 meter aage hai main road pe urgent sell karna hai,"Carpet area: 580
(53.88 sq.m.)  
sq.ft.",1st   of 1 Floors,NA,5 to 10 Year Old,,,,2,2,1,Not Available,1,1,580.05
"3 BHK Flat in Hoshangabad Road, Bhopal",nirupam royal palms,33.0,2682,Ready To Move,"Flat for sale nirupam royal palm, hoshangabad road","Super Built up area 1230
(114.27 sq.m.)
Carpet area: 750 sq.ft. (69.68 sq.m.)  
sq.ft.",1st   of 6 Floors,East,5 to 10 Year Old,"['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Park/Garden,Club",3,2,2,Not Available,1,6,1230.43
"2 BHK Flat in Patel Nagar, Bhopal",archana balaji towers,20.0,2500,Ready To Move,We are selling in low prince and good flat,"Super Built up area 800
(74.32 sq.m.)
Built Up area: 750 sq.ft. (69.68 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.",1st   of 3 Floors,NA,5 to 10 Year Old,"['2 Fan', '1 Geyser', '4 Light', '1 Wardrobe', '1 Sofa', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,2,2,2,Not Available,1,3,800.0
"2 BHK Flat in Ayodhya Bypass , Bhopal",paras heights,30.0,2921,Ready To Move,"We are the proud owners of this 2 bhk apartment available in paras heights, ayodhya bypass , bhopal. This it is a and the unit is located on 6th floor and has a super built-Up area of 1027 sq.Ft. . It has 2 bathroom(s) and 2 balcony(s). The ownership is freehold type.","Super Built up area 1027
(95.41 sq.m.)  
sq.ft.",6th   of 6 Floors,NA,1 to 5 Year Old    View Construction Status,,,,2,2,2,Not Available,6,6,1027.05
"2 BHK Flat in Sagar Eden Garden, Bhopal",hoshangabad road,35.0,3608,Ready To Move,"It is semi furnished with all wooden work done, fans lights available","Carpet area: 970
(90.12 sq.m.)  
sq.ft.",5th   of 5 Floors,North,5 to 10 Year Old,"['2 Wardrobe', '3 Fan', '4 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Pool,Park/Garden,Club",2,2,1,Not Available,5,5,970.07
"3 BHK Flat in TT Nagar, Bhopal",sanjay complex,45.0,5769,Ready To Move,Ready to move flat for sale in sanjay complex mata mandir tt nagar,"Carpet area: 780
(72.46 sq.m.)  
sq.ft.",1st   of 3 Floors,NA,10+ Year Old,"['2 Wardrobe', '3 Fan', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,,3,2,2,Not Available,1,3,780.03
"3 BHK Flat in Punjabi Bagh, Bhopal",satya apartment,30.0,2857,Ready To Move,The property is in prime location with all the transportation and facilities near to it,"Carpet area: 1050
(97.55 sq.m.)  
sq.ft.",2nd   of 3 Floors,NA,10+ Year Old,"['3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"Sea facing,Park/Garden",3,2,2, pooja room,2,3,1050.05
"3 BHK Flat in Bawadia Kalan, Bhopal",shiv aangan,65.0,5701,Ready To Move,"We are the proud owners of this 3 bhk apartment available in shiv aangan, bawadia kalan, bhopal. This it is a and the unit is located on 4th floor and has a super built-Up area of 1140 sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1140
(105.91 sq.m.)  
sq.ft.",4th   of 6 Floors,NA,1 to 5 Year Old    View Construction Status,,,,3,2,3,Not Available,4,6,1140.15
"1 BHK Flat in Misrod, Bhopal",fortune kasturi,10.0,3333,Ready To Move,H block 207 fortune kasturi hosangabad road bhopal,"Carpet area: 300
(27.87 sq.m.)  
sq.ft.",2nd   of 6 Floors,NA,5 to 10 Year Old    View Construction Status,,"['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",Others,1,1,1,Not Available,2,6,300.03
"3 BHK Flat in Awadhpuri, Bhopal",rkn nakshatra enclave,35.0,3181,Ready To Move,"3bhk semi furnished near by school, collage, bank, atm and bus stop","Built Up area: 1100
(102.19 sq.m.)
Carpet area: 960 sq.ft. (89.19 sq.m.)  
sq.ft.",5th   of 6 Floors,NA,1 to 5 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Fitness Centre / GYM', 'Club house / Community Center']",,3,2,1,Not Available,5,6,1100.28
"2 BHK Flat in Airport Road, Bhopal",indra vihar residency,35.0,3684,Ready To Move,"Cozy and well-Lit 2-Bedroom apartment - Located on the second floor of a modern building. This property features a spacious living area, 1 bathroom, and a private balcony offering lovely views. Perfect for small families or couples seeking comfort and convenience.","Carpet area: 950
(88.26 sq.m.)  
sq.ft.",2nd   of 2 Floors,NA,1 to 5 Year Old,,,,2,1,1, view floor plan,2,2,950.05
"1 BHK Flat in Lambakheda, Bhopal",aastha heights,11.5,2090,Ready To Move,Front of red rose school and at main road front of petrol pump,"Carpet area: 550
(51.1 sq.m.)  
sq.ft.",2nd   of 6 Floors,NA,1 to 5 Year Old,,"['Lift(s)', 'Park']","Park/Garden,Main Road",1,1,1,Not Available,2,6,550.24
"2 BHK Flat in Gulmohar Colony, Bhopal",silver okh,25.0,2705,Ready To Move,"We are the proud owners of this 2 bhk apartment available in silver okh, gulmohar colony, bhopal. This it is a and the unit is located on 9th floor and has a super built-Up area of 924 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 924
(85.84 sq.m.)  
sq.ft.",9th   of 9 Floors,NA,5 to 10 Year Old,,,,2,2,1,Not Available,9,9,924.21
"2 BHK Flat in Ayodhya Bypass , Bhopal",geet skyville,35.0,2333,Ready To Move,This is an open ground facing flat with unobstructed view just 5 mins from all basic amenities.,"Carpet area: 1500
(139.35 sq.m.)  
sq.ft.",6th   of 6 Floors,NA,1 to 5 Year Old    View Construction Status,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Geyser', '1 Stove', '5 Light', '1 Curtains', '1 Bed', '1 Wardrobe', '1 Sofa', 'No AC', 'No Chimney', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No TV', 'No Washing Machine']","['Power Back-up', 'Lift(s)', 'Park', 'Club house / Community Center', 'Rain Water Harvesting']",Park/Garden,2,2,3, view floor plan,6,6,1500.21
"2 BHK Flat in Katara Hills, Bhopal",agrawal sagar golden palm,25.0,3703,Ready To Move,"Agrawal sagar golden palm is one of the most popular destination for buying apartments/ flats in katara hills, bhopal. You too can be a part of this society by purchasing this 2 bhk flat here. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 1 balcony. All in all, the flat is spread over a carpet area of 675 sq.Ft. The property is located on the ground floor of a 6 floors tall building. As the project is already ready to move, so you can easily move into this 5-10 years old property. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, fitness centre / gym, club house / community center,, lift(s), security personnel and maintenance staff.","Carpet area: 675
(62.71 sq.m.)  
sq.ft.",Ground of 5 Floors,NA,5 to 10 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,2,2,1,Not Available,0,5,675.13
"3 BHK Flat in Bawadia Kalan, Bhopal",vishnu hitech city,55.0,4583,Ready To Move,"Ready to move,very good location,reserved parking,security and good well maintained colony.","Super Built up area 1200
(111.48 sq.m.)  
sq.ft.",1st   of 6 Floors,East,10+ Year Old,"['1 Water Purifier', '5 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '20 Light', '3 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","Park/Garden,Club,Main Road",3,2,2,Not Available,1,6,1200.09
"2 BHK Flat in TT Nagar, Bhopal",platinum park,65.0,4814,Ready To Move,Excellent location and well maintained apartment and society. All possible amenities and great community of people.,"Super Built up area 1350
(125.42 sq.m.)  
sq.ft.",7th   of 9 Floors,East,10+ Year Old,"['1 Water Purifier', '4 Fan', '1 Exhaust Fan', '2 Geyser', '8 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Club",2,2,3, view floor plan,7,9,1350.23
"3 BHK Flat in Salaiya, Bhopal",ville panache,90.0,5142,Ready To Move,"We are the proud owners of this 3 bhk apartment available in ville panache, salaiya, bhopal. This it is a and the unit is located on 6th floor and has a super built-Up area of 1750sq.Ft. . It has 2 bathroom(s) and 3 balcony(s). The ownership is freehold type.","Super Built up area 1750
(162.58 sq.m.)
Carpet area: 1460 sq.ft. (135.64 sq.m.)  
sq.ft.",6th   of 6 Floors,NA,1 to 5 Year Old    View Construction Status,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,3,2,3,Not Available,6,6,1750.29
"3 BHK Flat in Misrod, Bhopal",chinarr dream city,28.0,2000,Ready To Move,"We are the proud owners of this 3 bhk apartment available in chinarr dream city, misrod, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 1400 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 1400
(130.06 sq.m.)
Carpet area: 920 sq.ft. (85.47 sq.m.)  
sq.ft.",3rd   of 7 Floors,NA,5 to 10 Year Old,,"['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",Park/Garden,3,2,1,Not Available,3,7,1400.0
"2 BHK Flat in Mubarakpur Square, Bhopal",globus green bay,25.0,3012,Ready To Move,For sale: Spacious 2bhk apartment near airport,"Carpet area: 830
(77.11 sq.m.)  
sq.ft.",5th   of 6 Floors,North,5 to 10 Year Old,,"['Security / Fire Alarm', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM']",Park/Garden,2,2,1,Not Available,5,6,830.01
"2 BHK Flat in Salaiya, Bhopal",bda apartment,16.0,2666,Ready To Move,Fully furnished ground floor flat available to sell,"Carpet area: 600
(55.74 sq.m.)  
sq.ft.",Ground of 5 Floors,NA,1 to 5 Year Old,"['3 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Maintenance Staff', 'Water Storage']",,2,1,1,Not Available,0,5,600.15
"3 BHK Flat in Shiv Sangam Nagar, Bhopal",soumya parklands,30.0,2661,Ready To Move,"East facing, covered campus,alloted covered parking,","Built Up area: 1127
(104.7 sq.m.)
Carpet area: 783 sq.ft. (72.74 sq.m.)  
sq.ft.",4th   of 6 Floors,NA,10+ Year Old,"['1 Bed', '1 Wardrobe', '1 Fan', '1 Sofa', '1 Exhaust Fan', '1 Stove', '1 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",,3,2,2,Not Available,4,6,1127.4
"2 BHK Flat in Katara Hills, Bhopal",centurion sky,40.0,5000,Ready To Move,Fully furnished and decorated with covered and reserve parking space for car,"Carpet area: 800
(74.32 sq.m.)  
sq.ft.",5th   of 8 Floors,East,1 to 5 Year Old,"['1 Water Purifier', '4 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '10 Light', '1 AC', '2 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '2 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Park/Garden",2,2,2,Not Available,5,8,800.0
"2 BHK Flat in Jahangirabad, Bhopal",al-fiza tower,26.0,3714,Ready To Move,Mera flate jahangeerabaad main market me rajdhani petrol pump k pass h please gunine candidate hi contact karein,"Built Up area: 750
(69.68 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.",2nd   of 4 Floors,NA,5 to 10 Year Old,,"['Lift(s)', 'Maintenance Staff', 'Water Storage']",,2,2,1,Not Available,2,4,700.05
"2 BHK Flat in Ayodhya Bypass , Bhopal",jeet homes,20.0,3120,Ready To Move,Talk over phone for more information.,"Built Up area: 712
(66.15 sq.m.)
Carpet area: 641 sq.ft. (59.55 sq.m.)  
sq.ft.",5th   of 8 Floors,South,1 to 5 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",Others,2,1,1, view floor plan,5,8,641.03
