pname,society,price_outer,price_per_sqft,possesion,description,Area,Floor Number,Facing,Property Age,furnishing,features,Overlooking,bedrooms,bathrooms,balconies,additional_room,Floor_On,Total_Floors,area
"3 BHK Flat in Katara Hills, Bhopal",agrawal sagar golden palm,45.0,2990,Ready To Move,"Property is located infront of saint francis school..Within campus state bank ,shops ,mandir and other facility is available.. At walking distance petrol pump, sage university and other schools are available","Super Built up area 1505
(139.82 sq.m.)
Carpet area: 1500 sq.ft. (139.35 sq.m.)  
sq.ft.",6th   of 7 Floors,North,5 to 10 Year Old,"['1 Wardrobe', '1 Water Purifier', '7 Fan', '7 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","Pool,Park/Garden,Club,Main Road",3,2,3, pooja room,6,7,1505.02
"3 BHK Flat in Katara Hills, Bhopal",amaltas ambreen homes,30.0,3000,Ready To Move,"Corner flat, east facing, 2 lifts, garden, splash pool, temple.","Super Built up area 1435
(133.32 sq.m.)
Carpet area: 1000 sq.ft. (92.9 sq.m.)  
sq.ft.",4th   of 6 Floors,East,5 to 10 Year Old,"['4 Fan', '6 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Club house / Community Center', 'Water softening plant']","Pool,Park/Garden,Club,Main Road",3,2,1,Not Available,4,6,1000.0
"3 BHK Flat in Kohefiza, Bhopal",relaible heritage,33.0,4125,Ready To Move,"It is near sultania road, near to collectorate, gmc bhopal. It is a very safe locality and has a public park behind it","Carpet area: 800
(74.32 sq.m.)  
sq.ft.",2nd   of 4 Floors,NA,10+ Year Old,,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Park']",,3,1,1,Not Available,2,4,800.0
"3 BHK Flat in Idgah Hills, Bhopal",kamal krishnanchal,70.0,5833,Ready To Move,"Located in the popular residential address of idgah hills, bhopal, kamal krishnanchal is one of the most preferred destination for apartments in bhopal. This 3 bhk flat is your ticket to be a part of this community. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1600 sq.Ft. The property is located on the 1st floor of a 6 floors tall building. Being a ready to move project, you can expect immediate possession of this 5-10 years old property. Kamal krishnanchal is designed very well to provide modern facilities such as park and lift(s).","Super Built up area 1600
(148.64 sq.m.)
Carpet area: 1200 sq.ft. (111.48 sq.m.)  
sq.ft.",1st   of 6 Floors,NA,5 to 10 Year Old,"['1 Bed', '5 Wardrobe', '4 Fan', '1 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Park']",,3,2,2,Not Available,1,6,1200.07
"3 BHK Flat in Janki Nagar, Bhopal",ibd hallmark citii,18.3,1702,Ready To Move,"Check out this 3 bhk apartment for sale in ibd hallmark citii, a popular residential project that houses in-Demand flats in janki nagar, bhopal. The flat is over 1075 sq.Ft. Built up area and comes with 3 bedroom(s), 2 bathrooms . The flat has a total of 2 floors and this property is situated on top floor. This 0-1 year old property is available for immediate possession as the project is ready to move.","Built Up area: 1075
(99.87 sq.m.)  
sq.ft.",2nd   of 2 Floors,NA,,,,,3,2,0,Not Available,2,2,1075.21
"2 BHK Flat in Awadhpuri, Bhopal",girnar hills,17.5,2755,Ready To Move,2 bhk flat well furnished flat,"Super Built up area 635
(58.99 sq.m.)  
sq.ft.",5th   of 7 Floors,NA,5 to 10 Year Old    View Construction Status,"['1 Fan', '1 Light', '1 TV', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","Park/Garden,Club,Main Road,Sea facing",2,2,2, view floor plan,5,7,635.21
"3 BHK Flat in Kolar Road, Bhopal",agrawal sagar green hills,55.0,5319,Ready To Move,"This society is present in the middle of nature, due to which a very beautiful view of nature is visible from the balcony. The flat is very special and air comes from all sides. The windows are very good. The whole flat is airy.","Carpet area: 1034
(96.06 sq.m.)  
sq.ft.",4th   of 6 Floors,NA,1 to 5 Year Old,"['1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",,3,2,1,Not Available,4,6,1034.03
"3 BHK Flat in Arera Colony, Bhopal",mirchandani shalimar enclave,40.0,5479,Ready To Move,Well ventilated. Terrace use exclusive for this flat,"Carpet area: 730
(67.82 sq.m.)  
sq.ft.",3rd   of 3 Floors,NA,10+ Year Old,,"['Security / Fire Alarm', 'Park']",,3,2,2,Not Available,3,3,730.06
"2 BHK Flat in Shivaji Nagar, Bhopal",keelandev tower,118.0,9291,Ready To Move,"This 2 bhk flat is located in keelandev tower, which houses some of the most spacious flats in shivaji nagar, bhopal. Containing 2 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a carpet area of 1270 sq.Ft. The flat has a total of 5 floors and this property is situated on top floor. As the project is already ready to move, so you can easily move into this 0-1 year old property.","Carpet area: 1270
(117.99 sq.m.)  
sq.ft.",5th   of 5 Floors,NA,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,,2,2,2,Not Available,5,5,1270.05
"3 BHK Flat in Hoshangabad Road, Bhopal",aakriti aqua city,30.0,2269,Ready To Move,Residential apartment for sell.Located on 1st floor out of the 6 located in hoshangabad road.It is a unfurnished property.The property has 3 bedrooms with 3 bathrooms .Available at an expected price of rs 3000000.The property comes with a good construction quality which ages 0-1 years old property,"Super Built up area 1322
(122.82 sq.m.)  
sq.ft.",1st   of 6 Floors,NA,0 to 1 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Swimming Pool', 'Water Storage', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Club house / Community Center']",,3,3,3,Not Available,1,6,1322.17
"1 BHK Flat in Hoshangabad Road, Bhopal",sarc pacific blue,18.0,4500,Ready To Move,"We are the proud owners of this 1 bhk apartment available in sarc pacific blue, hoshangabad road, bhopal. This it is a and the unit is located on 3rd floor and has a super built-Up area of 400 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 400
(37.16 sq.m.)  
sq.ft.",3rd   of 3 Floors,NA,5 to 10 Year Old,,,,1,1,1,Not Available,3,3,400.0
"3 BHK Flat in Ayodhya Bypass , Bhopal",paras heights,32.0,2368,Ready To Move,"This beautiful 3 bhk flat in ayodhya bypass , bhopal is situated in paras heights, one of the popular residential society in bhopal. The flat is over 1351 sq.Ft. Super built up area and comes with 3 bedroom(s), 2 bathrooms and 3 balconies. The property is located on the 3rd floor of a 7 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move. The society is well equipped with many modern amenities, including park and lift(s).","Super Built up area 1351
(125.51 sq.m.)
Built Up area: 1074 sq.ft. (99.78 sq.m.)  
sq.ft.",3rd   of 7 Floors,NA,1 to 5 Year Old    View Construction Status,,"['Power Back-up', 'Lift(s)', 'Park', 'Rain Water Harvesting']",,3,2,3,Not Available,3,7,1351.35
"3 BHK Flat in Hoshangabad Road, Bhopal",nirupam royal palms,48.0,3168,Ready To Move,Infront of garden and clean colony,"Carpet area: 1515
(140.75 sq.m.)  
sq.ft.",1st   of 6 Floors,NA,5 to 10 Year Old,"['1 Bed', '4 Wardrobe', '6 Fan', '1 Exhaust Fan', '1 Geyser', '20 Light', 'No AC', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","Pool,Park/Garden,Club,Main Road,Sea facing",3,2,2,Not Available,1,6,1515.15
"3 BHK Flat in Bawadia Kalan, Bhopal",aakrati olive,69.0,7123,Ready To Move,"This beautiful 3 bhk flat in bawadia kalan, bhopal is situated in aakrati olive, one of the popular residential society in bhopal. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a carpet area of 90 sq.M. The residential building has 5 floors in total and the flat for sale is located on the 4th floor. As the project is already ready to move, so you can easily move into this 1-5 years old property.","Carpet area: 90   
sq.m.",4th   of 5 Floors,NA,1 to 5 Year Old,,,,3,3,2,Not Available,4,5,968.69
"2 BHK Flat in Kolar Road, Bhopal",sarvadharm colony,35.0,5384,Ready To Move,"Property is well maintained. Has proper ventilation and sunlight. Main road facing. 2 wheeler parking available. All basic amenities available, grocery, vegetables are available 24hrs. Well maintained neat & clean society with 2 time water supply.","Carpet area: 650
(60.39 sq.m.)  
sq.ft.",1st   of 3 Floors,East,10+ Year Old,"['2 Bed', '1 Wardrobe', '1 Water Purifier', '4 Fan', '1 Fridge', '1 Stove', '15 Light', '1 Curtains', 'No AC', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal']",Main Road,2,2,1,Not Available,1,3,650.07
"2 BHK Flat in Govindpura, Bhopal",ram complex,25.0,3333,Ready To Move,"We are the proud owners of this 2 bhk apartment available in ram complex, govindpura, bhopal. This it is a and the unit is located on ground floor and has a super built-Up area of 750 sq.Ft. . It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Super Built up area 750
(69.68 sq.m.)  
sq.ft.",Ground of 2 Floors,NA,10+ Year Old,,,,2,2,1,Not Available,0,2,750.08
"3 BHK Flat in Hoshangabad Road, Bhopal",sagar pearl phase 2,58.0,5800,Ready To Move,"This 3 bhk apartment is available for sale in sagar pearl phase 2, one of the most prominent projects for flats in hoshangabad road, bhopal. This residential flat is north-Facing direction. The floor plan additionally contains 3 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a carpet area of 1000 sq.Ft. This flat is situated on the 3rd floor of this 8 floors tall residential building. This is a ready to move project and the property is 1-5 years old. The beautifully designed ceramic flooring enhances the beauty of the flat. Proximity to landmarks like close to hospital, close to mall and close to highway makes this an ideal property for families. The society is well equipped with many modern amenities, including swimming pool, fitness centre / gym, club house / community center, park, shopping centre, grocery shop, cctv surveillance, visitor parking and lift(s). This residential project ensures a 24*7 water supply for its residents.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.",3rd   of 8 Floors,North,1 to 5 Year Old,"['5 Fan', '1 Exhaust Fan', '1 Geyser', '1 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Swimming Pool', 'Park', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",Park/Garden,3,2,2,Not Available,3,8,1000.0
"2 BHK Flat in TT Nagar, Bhopal",jharneshwar complex,47.0,4700,Ready To Move,"We are the proud owners of this 2 bhk apartment available in jharneshwar complex, tt nagar, bhopal. This it is a and the unit is located on ground floor and has a carpet area of 1000 sq.Ft. . It has 1 bathroom(s) and 1 balcony(s). The ownership is freehold type.","Carpet area: 1000
(92.9 sq.m.)  
sq.ft.",Ground of 10 Floors,NA,5 to 10 Year Old,,,,2,1,1,Not Available,0,10,1000.0
"2 BHK Flat in TT Nagar, Bhopal",jharneshwar complex,47.0,4700,Ready To Move,"Fully furnished 2bhk flat at new market tt nagar jawahar chowk bhopal available for sale, 24 hours water supply, big kitchen garden. Situated in heart of city main bhopal area.","Super Built up area 1000
(92.9 sq.m.)
Carpet area: 700 sq.ft. (65.03 sq.m.)  
sq.ft.",Lower Ground of 1 Floors,North-East,10+ Year Old,"['2 Bed', '2 Wardrobe', '1 Fan', '1 Sofa', '1 Exhaust Fan', '1 Light', '1 AC', '1 TV', '1 Curtains', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No Washing Machine', 'No Water Purifier']",['Water Storage'],Main Road,2,1,1,Not Available,0,1,1000.0
"3 BHK Flat in Kohefiza, Bhopal",afroz appartment,46.0,4181,Ready To Move,"We are the proud owners of this 3 bhk apartment available in afroz avenue appartment , kohefiza, bhopal. This is located on 3rd floor and has a super built-Up area of 1100 sq.Ft. . It has 2 bathroom(s). The ownership is freehold type.","Super Built up area 1100
(102.19 sq.m.)  
sq.ft.",3rd   of 7 Floors,NA,1 to 5 Year Old,,"['Security / Fire Alarm', 'Water Storage']",,3,2,0,Not Available,3,7,1100.22
"3 BHK Flat in Ayodhya Bypass , Bhopal",archana parisar,30.0,2400,Ready To Move,"Covered campus, 2 bore, Limited houses.","Carpet area: 1250
(116.13 sq.m.)  
sq.ft.",2nd   of 5 Floors,NA,1 to 5 Year Old,,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting']",Park/Garden,3,2,1, view floor plan,2,5,1250.0
"3 BHK Flat in Ayodhya Bypass , Bhopal",agrawal sagar lakeview homes,44.0,2802,Ready To Move,"Greenery all around, near lake, very spacious, with gym & swimming pool. Corner property. Well maintained and furnished.","Super Built up area 1570
(145.86 sq.m.)
Carpet area: 1070 sq.ft. (99.41 sq.m.)  
sq.ft.",4th   of 6 Floors,NA,5 to 10 Year Old,"['3 Wardrobe', '6 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","Pool,Club,Park/Garden",3,3,3, pooja room,4,6,1570.31
"3 BHK Flat in Sanjeev Nagar, Bhopal",ripl maple tree,50.88,3200,Ready To Move,"Ripl maple tree is one of bhopal's most sought after destination for apartments and this 3 bhk flat in sanjeev nagar is your opportunity to be a part of this community. Containing 3 bedroom(s), 2 bathrooms and 2 balconies, this flat is spread over a super built up area of 1590 sq.Ft. The property is located on the top floor of a 6 floors tall building. An added advantage of this 1-5 years old flat is that it is available fully furnished for immediate possession and ready to move. All the modern amenities such as swimming pool, fitness centre / gym, park, cctv surveillance and lift(s) will make life easier for you.","Super Built up area 1590
(147.72 sq.m.)
Built Up area: 1400 sq.ft. (130.06 sq.m.)  
sq.ft.",6th   of 7 Floors,NA,1 to 5 Year Old,"['1 Water Purifier', '7 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '9 Light', '3 AC', '1 TV', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Bed', '4 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM']","Pool,Park/Garden,Club,Main Road",3,2,2, pooja room,6,7,1590.0
