colony,property_type,Total Floors,Property Age,bedrooms,bathrooms,balconies,built_up_area,servant room,store room,furnishing_type,Overlooking_Categories,luxury_category,price
19.0,1.0,2.0,1.0,4,2,1,1000.0,0,0,0,1.0,1.0,70.0
10.0,1.0,2.0,1.0,2,2,2,3200.0,0,0,1,3.0,1.0,69.0
9.0,0.0,4.0,3.0,3,3,0,1620.0,0,0,1,0.0,1.0,42.0
3.0,0.0,2.0,1.0,3,2,2,691.8597489805751,0,0,1,0.0,2.0,20.0
17.0,0.0,2.0,2.0,2,1,1,900.0,0,0,0,3.0,1.0,22.75
5.0,1.0,2.0,0.0,3,3,0,800.0,0,0,1,3.0,1.0,38.0
7.0,0.0,4.0,1.0,3,2,2,1200.0,0,0,0,1.0,2.0,42.0
22.0,1.0,1.0,1.0,3,3,0,450.0,0,0,1,0.0,1.0,25.0
19.0,1.0,3.0,1.0,2,7,3,750.0,0,0,1,3.0,1.0,50.0
26.0,0.0,3.0,1.0,4,4,2,1630.0,0,0,1,0.0,2.0,100.0
1.0,0.0,3.0,2.0,1,1,1,600.0,0,0,1,3.0,1.0,15.0
3.0,1.0,2.0,1.0,4,5,0,1250.0,0,0,1,1.0,1.0,95.0
9.0,1.0,3.0,3.0,5,8,3,3200.0,1,1,1,3.0,1.0,550.0
18.0,1.0,2.0,0.0,4,4,2,1400.0,0,0,1,1.0,1.0,100.0
14.0,0.0,4.0,0.0,2,2,3,1200.0,0,0,1,3.0,1.0,30.0
3.0,0.0,1.0,1.0,1,1,0,310.9482017890225,0,0,1,3.0,1.0,14.0
12.0,0.0,1.0,2.0,1,1,1,477.6,0,0,0,3.0,1.0,43.0
26.0,0.0,2.0,1.0,4,4,2,1206.4790229414073,1,0,1,0.0,2.0,87.0
35.0,1.0,2.0,2.0,3,3,1,3000.0,0,0,1,3.0,1.0,300.0
19.0,1.0,2.0,1.0,2,2,1,400.0,0,0,1,3.0,1.0,27.0
4.0,1.0,3.0,0.0,2,2,2,1500.0,1,0,1,1.0,1.0,315.0
10.0,1.0,1.0,2.0,4,3,2,5400.0,1,0,0,1.0,2.0,250.0
10.0,0.0,1.0,2.0,2,2,2,750.0,0,0,0,3.0,1.0,50.0
10.0,0.0,2.0,2.0,2,2,2,992.0,0,0,0,1.0,2.0,38.0
27.0,1.0,1.0,0.0,3,2,0,1400.0,0,0,1,2.0,1.0,55.0
7.0,1.0,1.0,2.0,3,3,1,2520.0,0,0,1,3.0,2.0,202.0
7.0,1.0,1.0,2.0,2,2,0,720.0,0,0,1,1.0,1.0,35.0
5.0,1.0,2.0,0.0,4,2,0,1650.0,0,0,1,3.0,1.0,130.0
20.0,0.0,4.0,0.0,3,2,2,1350.0,0,0,1,1.0,1.0,30.0
6.0,1.0,2.0,2.0,5,4,2,2200.0,0,0,1,1.0,1.0,110.0
2.0,1.0,3.0,2.0,4,5,1,2500.0,0,0,1,3.0,2.0,105.0
4.0,0.0,1.0,0.0,1,1,0,246.0,0,0,1,3.0,1.0,5.8
4.0,0.0,5.0,1.0,2,1,1,712.0,0,0,1,3.0,2.0,20.0
35.0,1.0,2.0,2.0,5,4,3,2100.0,0,0,1,3.0,1.0,180.0
33.0,0.0,4.0,1.0,3,2,0,824.0127347409097,0,0,1,1.0,2.0,45.0
